bikeid,ride_count(次),total_distance(km),avg_distance(km),total_duration(min),avg_duration(min)
99372,1,1.62,1.62,13.0,13.0
99373,1,1.82,1.82,18.0,18.0
99375,1,1.49,1.49,17.0,17.0
99376,1,0.58,0.58,60.0,60.0
99382,1,0.53,0.53,4.0,4.0
99383,1,0.38,0.38,5.0,5.0
99385,4,5.1,1.28,184.0,46.0
99387,1,0.83,0.83,12.0,12.0
99389,1,1.07,1.07,9.0,9.0
99392,2,1.07,0.53,15.0,7.5
99393,2,8.92,4.46,61.0,30.5
99394,2,9.5,4.75,72.0,36.0
99397,1,1.11,1.11,12.0,12.0
99399,1,0.58,0.58,20.0,20.0
99406,1,0.77,0.77,6.0,6.0
99407,1,1.3,1.3,32.0,32.0
99409,1,3.25,3.25,23.0,23.0
99417,1,0.67,0.67,38.0,38.0
99420,2,1.66,0.83,18.0,9.0
99421,1,0.74,0.74,6.0,6.0
99425,1,0.49,0.49,10.0,10.0
99427,1,0.59,0.59,4.0,4.0
99437,1,1.49,1.49,9.0,9.0
99453,1,0.59,0.59,6.0,6.0
99457,2,7.5,3.75,98.0,49.0
99458,1,1.11,1.11,11.0,11.0
99460,1,1.3,1.3,15.0,15.0
99462,1,1.11,1.11,8.0,8.0
99470,1,3.22,3.22,21.0,21.0
99479,3,2.1,0.7,23.0,7.67
99481,1,1.66,1.66,13.0,13.0
99483,1,1.32,1.32,12.0,12.0
99489,1,1.86,1.86,21.0,21.0
99491,1,0.58,0.58,29.0,29.0
99507,3,3.13,1.04,31.0,10.33
99512,1,2.75,2.75,28.0,28.0
99513,2,7.72,3.86,54.0,27.0
99517,1,1.1,1.1,11.0,11.0
99521,1,0.56,0.56,17.0,17.0
99530,1,0.36,0.36,5.0,5.0
99531,1,2.19,2.19,13.0,13.0
99534,1,8.45,8.45,59.0,59.0
99537,2,11.86,5.93,96.0,48.0
99538,5,4.88,0.98,35.0,7.0
99539,1,3.05,3.05,51.0,51.0
99540,1,0.67,0.67,5.0,5.0
99541,1,1.35,1.35,18.0,18.0
99546,1,0.74,0.74,10.0,10.0
99549,1,2.98,2.98,16.0,16.0
99550,1,0.67,0.67,6.0,6.0
99552,1,1.82,1.82,13.0,13.0
99559,2,2.08,1.04,17.0,8.5
99563,1,3.33,3.33,29.0,29.0
99567,1,0.58,0.58,4.0,4.0
99578,1,4.35,4.35,40.0,40.0
99587,3,2.99,1.0,27.0,9.0
99591,1,1.25,1.25,12.0,12.0
99596,1,1.49,1.49,13.0,13.0
99603,3,2.71,0.9,22.0,7.33
99611,1,3.25,3.25,24.0,24.0
99615,1,0.31,0.31,30.0,30.0
99625,1,0.77,0.77,6.0,6.0
99631,3,3.11,1.04,25.0,8.33
99634,1,0.8,0.8,29.0,29.0
99638,2,1.4,0.7,17.0,8.5
99641,2,2.02,1.01,38.0,19.0
99645,4,5.53,1.38,61.0,15.25
99653,1,0.72,0.72,6.0,6.0
99654,1,0.15,0.15,22.0,22.0
99660,1,0.44,0.44,5.0,5.0
99661,1,0.72,0.72,26.0,26.0
99674,3,9.52,3.17,74.0,24.67
99676,1,2.8,2.8,41.0,41.0
99681,1,1.01,1.01,9.0,9.0
99685,2,2.97,1.48,45.0,22.5
99689,1,1.61,1.61,15.0,15.0
99700,1,1.17,1.17,5.0,5.0
99706,1,6.22,6.22,41.0,41.0
99707,1,0.24,0.24,3.0,3.0
99709,2,8.23,4.12,75.0,37.5
99712,1,0.67,0.67,6.0,6.0
99716,4,2.49,0.62,29.0,7.25
99717,2,4.62,2.31,37.0,18.5
99721,1,0.96,0.96,7.0,7.0
99724,1,2.59,2.59,24.0,24.0
99726,1,0.96,0.96,8.0,8.0
99727,1,1.47,1.47,23.0,23.0
99729,3,3.48,1.16,29.0,9.67
99737,2,1.42,0.71,100.0,50.0
