bikeid,ride_count(次),total_distance(km),avg_distance(km),total_duration(min),avg_duration(min)
3,1,2.14,2.14,20.0,20.0
6,1,0.38,0.38,4.0,4.0
13,2,0.88,0.44,7.0,3.5
22,1,0.87,0.87,12.0,12.0
25,1,2.01,2.01,21.0,21.0
26,1,3.36,3.36,19.0,19.0
34,2,2.07,1.03,22.0,11.0
38,1,0.45,0.45,3.0,3.0
45,4,8.54,2.13,72.0,18.0
50,1,2.16,2.16,12.0,12.0
71,1,0.72,0.72,8.0,8.0
74,1,2.62,2.62,20.0,20.0
80,1,0.44,0.44,26.0,26.0
82,1,1.14,1.14,10.0,10.0
86,1,0.89,0.89,35.0,35.0
87,1,1.81,1.81,14.0,14.0
88,1,3.07,3.07,25.0,25.0
91,1,3.88,3.88,50.0,50.0
98,2,3.01,1.5,31.0,15.5
105,1,0.59,0.59,5.0,5.0
124,1,0.67,0.67,5.0,5.0
128,1,1.24,1.24,27.0,27.0
131,1,0.35,0.35,1.0,1.0
140,4,5.99,1.5,69.0,17.25
145,1,1.79,1.79,14.0,14.0
146,2,2.41,1.2,17.0,8.5
149,1,0.97,0.97,25.0,25.0
154,1,0.31,0.31,6.0,6.0
156,3,11.6,3.87,78.0,26.0
168,1,2.01,2.01,10.0,10.0
170,2,1.65,0.83,17.0,8.5
173,1,1.97,1.97,16.0,16.0
174,1,0.91,0.91,5.0,5.0
177,1,0.98,0.98,7.0,7.0
182,1,2.98,2.98,27.0,27.0
189,1,1.01,1.01,13.0,13.0
192,1,1.19,1.19,9.0,9.0
195,1,1.1,1.1,9.0,9.0
197,1,0.67,0.67,3.0,3.0
199,1,0.77,0.77,4.0,4.0
201,1,1.82,1.82,15.0,15.0
207,1,1.73,1.73,16.0,16.0
212,1,1.01,1.01,10.0,10.0
215,1,2.05,2.05,30.0,30.0
217,1,2.39,2.39,15.0,15.0
219,1,1.05,1.05,6.0,6.0
228,1,3.17,3.17,26.0,26.0
232,1,0.58,0.58,6.0,6.0
234,1,1.34,1.34,9.0,9.0
237,1,0.74,0.74,4.0,4.0
239,1,0.59,0.59,4.0,4.0
241,2,10.99,5.5,76.0,38.0
244,1,0.56,0.56,6.0,6.0
245,4,5.1,1.27,89.0,22.25
247,1,3.61,3.61,29.0,29.0
248,1,1.28,1.28,11.0,11.0
249,1,0.5,0.5,17.0,17.0
255,1,0.15,0.15,2.0,2.0
257,1,0.22,0.22,3.0,3.0
259,3,7.6,2.53,60.0,20.0
266,1,0.83,0.83,6.0,6.0
277,1,2.58,2.58,20.0,20.0
279,1,1.95,1.95,16.0,16.0
284,1,0.31,0.31,13.0,13.0
287,1,0.58,0.58,3.0,3.0
292,1,0.22,0.22,15.0,15.0
295,1,2.12,2.12,15.0,15.0
297,1,1.38,1.38,20.0,20.0
298,1,2.59,2.59,53.0,53.0
300,1,1.04,1.04,7.0,7.0
305,2,3.55,1.77,28.0,14.0
308,1,0.56,0.56,6.0,6.0
311,1,2.79,2.79,17.0,17.0
312,2,1.35,0.67,12.0,6.0
317,1,2.1,2.1,18.0,18.0
319,1,1.34,1.34,15.0,15.0
321,1,0.44,0.44,5.0,5.0
322,1,0.58,0.58,6.0,6.0
339,1,1.28,1.28,8.0,8.0
342,1,2.45,2.45,17.0,17.0
346,1,0.5,0.5,5.0,5.0
350,1,1.23,1.23,10.0,10.0
355,1,0.83,0.83,12.0,12.0
356,1,1.64,1.64,15.0,15.0
358,1,0.67,0.67,3.0,3.0
359,3,5.32,1.77,59.0,19.67
367,1,1.23,1.23,60.0,60.0
369,1,0.58,0.58,6.0,6.0
370,1,0.4,0.4,4.0,4.0
374,1,0.44,0.44,5.0,5.0
382,2,2.34,1.17,21.0,10.5
384,1,1.55,1.55,12.0,12.0
387,2,1.93,0.96,12.0,6.0
392,2,4.11,2.05,35.0,17.5
394,4,6.89,1.72,100.0,25.0
400,2,4.22,2.11,22.0,11.0
403,1,1.06,1.06,8.0,8.0
404,1,0.67,0.67,9.0,9.0
406,1,0.31,0.31,2.0,2.0
424,1,2.18,2.18,11.0,11.0
425,1,1.11,1.11,20.0,20.0
432,1,1.11,1.11,16.0,16.0
442,1,1.25,1.25,9.0,9.0
449,1,0.67,0.67,5.0,5.0
454,2,5.48,2.74,89.0,44.5
459,1,1.11,1.11,11.0,11.0
462,1,0.44,0.44,7.0,7.0
464,1,1.44,1.44,13.0,13.0
467,1,2.6,2.6,30.0,30.0
468,1,0.59,0.59,6.0,6.0
474,1,1.54,1.54,14.0,14.0
478,1,0.44,0.44,2.0,2.0
480,2,2.42,1.21,15.0,7.5
482,1,1.24,1.24,14.0,14.0
485,2,1.33,0.66,12.0,6.0
493,1,1.04,1.04,14.0,14.0
494,1,0.77,0.77,7.0,7.0
497,2,1.31,0.66,10.0,5.0
499,1,1.54,1.54,15.0,15.0
502,1,0.8,0.8,9.0,9.0
504,1,1.91,1.91,16.0,16.0
516,1,0.83,0.83,6.0,6.0
522,1,2.07,2.07,19.0,19.0
524,1,0.89,0.89,6.0,6.0
528,2,0.86,0.43,8.0,4.0
530,1,0.56,0.56,8.0,8.0
531,1,1.25,1.25,10.0,10.0
532,2,1.33,0.67,22.0,11.0
533,1,1.22,1.22,12.0,12.0
534,1,1.74,1.74,19.0,19.0
537,1,0.44,0.44,7.0,7.0
539,1,0.35,0.35,5.0,5.0
543,2,2.69,1.34,20.0,10.0
546,1,1.3,1.3,22.0,22.0
551,1,1.88,1.88,25.0,25.0
560,1,1.3,1.3,12.0,12.0
562,1,0.78,0.78,70.0,70.0
564,1,2.01,2.01,18.0,18.0
569,1,0.36,0.36,3.0,3.0
574,2,1.59,0.8,14.0,7.0
577,1,1.76,1.76,14.0,14.0
580,1,1.3,1.3,30.0,30.0
584,1,1.25,1.25,8.0,8.0
586,1,0.36,0.36,30.0,30.0
589,1,3.04,3.04,21.0,21.0
596,1,1.53,1.53,10.0,10.0
598,1,0.97,0.97,6.0,6.0
600,2,3.75,1.88,54.0,27.0
603,3,1.82,0.6,18.0,6.0
611,1,1.04,1.04,10.0,10.0
614,1,1.01,1.01,8.0,8.0
615,2,4.05,2.03,56.0,28.0
624,1,0.58,0.58,5.0,5.0
625,1,0.73,0.73,6.0,6.0
626,3,2.49,0.83,25.0,8.33
632,1,0.45,0.45,14.0,14.0
636,3,19.02,6.34,117.0,39.0
640,1,0.38,0.38,6.0,6.0
646,1,1.6,1.6,23.0,23.0
650,1,1.05,1.05,9.0,9.0
654,1,0.98,0.98,11.0,11.0
660,2,3.73,1.87,24.0,12.0
661,1,0.86,0.86,23.0,23.0
667,2,2.12,1.06,17.0,8.5
669,1,0.4,0.4,3.0,3.0
671,1,0.49,0.49,5.0,5.0
678,1,0.67,0.67,6.0,6.0
680,4,6.08,1.52,158.0,39.5
681,2,4.22,2.11,43.0,21.5
686,1,1.04,1.04,11.0,11.0
687,1,0.88,0.88,5.0,5.0
695,3,1.37,0.46,15.0,5.0
699,2,1.46,0.73,17.0,8.5
703,1,1.2,1.2,13.0,13.0
706,1,2.38,2.38,33.0,33.0
707,2,1.9,0.95,35.0,17.5
713,1,3.85,3.85,33.0,33.0
716,1,0.44,0.44,13.0,13.0
717,1,0.15,0.15,2.0,2.0
720,1,1.55,1.55,12.0,12.0
724,2,1.42,0.71,12.0,6.0
726,1,2.16,2.16,13.0,13.0
729,1,0.93,0.93,5.0,5.0
732,1,1.24,1.24,10.0,10.0
736,1,1.11,1.11,9.0,9.0
738,1,0.61,0.61,4.0,4.0
744,1,1.25,1.25,12.0,12.0
745,1,1.02,1.02,40.0,40.0
746,2,2.26,1.13,21.0,10.5
748,1,1.34,1.34,12.0,12.0
751,1,0.82,0.82,8.0,8.0
755,1,1.35,1.35,9.0,9.0
756,2,6.48,3.24,40.0,20.0
757,1,1.43,1.43,13.0,13.0
767,1,0.93,0.93,6.0,6.0
779,1,1.14,1.14,9.0,9.0
782,1,1.17,1.17,10.0,10.0
792,1,0.36,0.36,6.0,6.0
799,1,3.29,3.29,23.0,23.0
812,1,1.04,1.04,7.0,7.0
815,4,2.8,0.7,32.0,8.0
818,1,1.11,1.11,17.0,17.0
821,3,3.05,1.02,22.0,7.33
823,1,0.94,0.94,8.0,8.0
826,1,1.34,1.34,14.0,14.0
831,1,1.02,1.02,13.0,13.0
832,1,1.55,1.55,19.0,19.0
833,1,0.96,0.96,41.0,41.0
834,1,1.01,1.01,8.0,8.0
836,1,0.58,0.58,6.0,6.0
841,1,0.62,0.62,4.0,4.0
859,1,2.61,2.61,25.0,25.0
861,2,1.86,0.93,16.0,8.0
862,2,2.09,1.04,18.0,9.0
865,1,1.52,1.52,17.0,17.0
867,1,0.22,0.22,2.0,2.0
870,1,5.39,5.39,54.0,54.0
871,1,1.95,1.95,14.0,14.0
878,1,4.13,4.13,42.0,42.0
881,1,0.98,0.98,6.0,6.0
885,1,0.8,0.8,23.0,23.0
887,3,0.93,0.31,32.0,10.67
889,1,1.27,1.27,11.0,11.0
892,3,2.26,0.75,13.0,4.33
895,1,0.45,0.45,6.0,6.0
896,1,0.8,0.8,5.0,5.0
901,1,1.52,1.52,11.0,11.0
906,1,3.69,3.69,37.0,37.0
911,2,2.55,1.27,16.0,8.0
913,1,1.31,1.31,13.0,13.0
914,1,0.61,0.61,26.0,26.0
915,1,0.67,0.67,7.0,7.0
917,2,2.43,1.21,22.0,11.0
919,2,2.56,1.28,20.0,10.0
921,1,0.62,0.62,12.0,12.0
926,1,0.44,0.44,3.0,3.0
928,1,0.15,0.15,11.0,11.0
930,1,1.24,1.24,8.0,8.0
936,1,0.8,0.8,32.0,32.0
937,2,2.89,1.45,29.0,14.5
947,2,2.6,1.3,23.0,11.5
948,1,0.38,0.38,3.0,3.0
953,4,7.49,1.87,67.0,16.75
957,1,2.26,2.26,26.0,26.0
961,1,0.4,0.4,2.0,2.0
972,1,2.17,2.17,49.0,49.0
977,1,3.06,3.06,19.0,19.0
980,1,0.24,0.24,11.0,11.0
981,1,1.1,1.1,6.0,6.0
982,1,0.58,0.58,7.0,7.0
988,6,14.5,2.42,93.0,15.5
990,3,3.99,1.33,34.0,11.33
992,1,0.22,0.22,18.0,18.0
995,2,2.01,1.01,17.0,8.5
996,1,1.46,1.46,10.0,10.0
1000,1,1.25,1.25,10.0,10.0
1010,1,1.67,1.67,13.0,13.0
1014,1,1.15,1.15,9.0,9.0
1018,2,2.2,1.1,12.0,6.0
1023,1,0.58,0.58,4.0,4.0
1029,1,1.34,1.34,13.0,13.0
1033,2,1.79,0.89,49.0,24.5
1034,5,4.89,0.98,44.0,8.8
1035,2,1.79,0.89,16.0,8.0
1036,2,2.68,1.34,48.0,24.0
1038,1,0.61,0.61,6.0,6.0
1039,1,0.35,0.35,4.0,4.0
1052,1,0.86,0.86,16.0,16.0
1054,1,1.74,1.74,31.0,31.0
1056,1,1.52,1.52,14.0,14.0
1059,2,7.27,3.63,145.0,72.5
1060,1,1.77,1.77,15.0,15.0
1062,1,1.87,1.87,18.0,18.0
1063,1,1.37,1.37,10.0,10.0
1067,2,2.21,1.1,20.0,10.0
1072,1,0.15,0.15,9.0,9.0
1074,2,3.0,1.5,51.0,25.5
1077,1,2.49,2.49,17.0,17.0
1082,1,0.24,0.24,26.0,26.0
1083,1,0.66,0.66,31.0,31.0
1086,3,4.02,1.34,26.0,8.67
1087,3,3.95,1.32,30.0,10.0
1089,2,3.27,1.64,21.0,10.5
1099,1,0.61,0.61,4.0,4.0
1100,1,1.67,1.67,13.0,13.0
1101,1,1.37,1.37,9.0,9.0
1108,1,0.69,0.69,6.0,6.0
1109,1,0.45,0.45,3.0,3.0
1112,1,2.77,2.77,20.0,20.0
1114,3,4.46,1.49,38.0,12.67
1115,1,0.58,0.58,6.0,6.0
1118,2,2.72,1.36,22.0,11.0
1123,2,1.74,0.87,12.0,6.0
1125,2,4.67,2.34,39.0,19.5
1129,3,4.03,1.34,57.0,19.0
1130,1,1.2,1.2,11.0,11.0
1132,1,1.18,1.18,11.0,11.0
1133,1,0.66,0.66,5.0,5.0
1137,2,4.05,2.02,29.0,14.5
1141,1,0.53,0.53,4.0,4.0
1144,1,5.72,5.72,39.0,39.0
1146,1,0.49,0.49,9.0,9.0
1150,3,4.1,1.36,30.0,10.0
1152,1,0.58,0.58,6.0,6.0
1155,2,4.12,2.06,33.0,16.5
1157,1,0.8,0.8,8.0,8.0
1164,1,0.53,0.53,17.0,17.0
1175,1,0.31,0.31,2.0,2.0
1185,1,1.41,1.41,9.0,9.0
1188,2,3.82,1.91,33.0,16.5
1189,1,0.67,0.67,17.0,17.0
1190,1,0.72,0.72,7.0,7.0
1214,2,1.82,0.91,20.0,10.0
1220,1,1.28,1.28,13.0,13.0
1221,1,2.38,2.38,44.0,44.0
1226,1,1.65,1.65,27.0,27.0
1229,5,6.83,1.37,58.0,11.6
1231,1,0.89,0.89,8.0,8.0
1233,1,1.07,1.07,7.0,7.0
1244,2,1.5,0.75,13.0,6.5
1245,1,2.42,2.42,18.0,18.0
1247,1,1.18,1.18,8.0,8.0
1250,1,1.06,1.06,30.0,30.0
1251,4,3.53,0.88,41.0,10.25
1255,1,1.37,1.37,10.0,10.0
1257,2,1.3,0.65,10.0,5.0
1265,1,0.31,0.31,4.0,4.0
1266,1,1.49,1.49,16.0,16.0
1267,3,2.74,0.91,32.0,10.67
1268,1,1.05,1.05,17.0,17.0
1269,1,0.38,0.38,8.0,8.0
1274,1,1.93,1.93,17.0,17.0
1280,2,1.36,0.68,11.0,5.5
1290,1,1.25,1.25,13.0,13.0
1291,1,0.52,0.52,5.0,5.0
1299,2,5.77,2.89,36.0,18.0
1307,1,7.16,7.16,49.0,49.0
1309,2,1.3,0.65,8.0,4.0
1312,5,2.87,0.57,19.0,3.8
1318,1,2.76,2.76,45.0,45.0
1323,1,0.67,0.67,8.0,8.0
1325,1,4.82,4.82,30.0,30.0
1326,1,0.79,0.79,11.0,11.0
1330,1,0.44,0.44,5.0,5.0
1331,1,3.46,3.46,27.0,27.0
1344,1,1.23,1.23,10.0,10.0
1348,1,1.57,1.57,14.0,14.0
1353,1,1.05,1.05,10.0,10.0
1365,1,1.04,1.04,7.0,7.0
1366,1,1.04,1.04,5.0,5.0
1373,2,1.65,0.83,31.0,15.5
1377,1,0.35,0.35,3.0,3.0
1379,1,0.8,0.8,5.0,5.0
1380,2,2.42,1.21,16.0,8.0
1383,1,4.69,4.69,29.0,29.0
1389,1,0.79,0.79,5.0,5.0
1391,1,2.6,2.6,48.0,48.0
1404,1,1.44,1.44,19.0,19.0
1405,3,1.91,0.64,112.0,37.33
1410,1,1.45,1.45,18.0,18.0
1417,1,0.53,0.53,11.0,11.0
1420,3,2.96,0.99,20.0,6.67
1421,2,1.64,0.82,12.0,6.0
1423,1,1.13,1.13,6.0,6.0
1424,1,0.58,0.58,4.0,4.0
1427,1,0.5,0.5,4.0,4.0
1428,1,1.29,1.29,11.0,11.0
1429,1,1.44,1.44,9.0,9.0
1437,1,1.39,1.39,10.0,10.0
1440,2,4.04,2.02,38.0,19.0
1446,1,0.77,0.77,5.0,5.0
1457,1,0.44,0.44,2.0,2.0
1460,1,1.13,1.13,7.0,7.0
1467,1,0.15,0.15,3.0,3.0
1468,2,1.65,0.83,15.0,7.5
1475,1,0.22,0.22,3.0,3.0
1492,1,0.8,0.8,19.0,19.0
1494,1,4.85,4.85,68.0,68.0
1496,1,1.01,1.01,13.0,13.0
1499,2,2.15,1.08,36.0,18.0
1501,1,1.34,1.34,20.0,20.0
1503,1,1.11,1.11,9.0,9.0
1504,1,1.53,1.53,16.0,16.0
1506,1,1.76,1.76,18.0,18.0
1509,3,1.83,0.61,20.0,6.67
1514,2,2.26,1.13,22.0,11.0
1522,2,1.66,0.83,17.0,8.5
1525,2,2.56,1.28,25.0,12.5
1536,1,1.93,1.93,20.0,20.0
1539,1,1.38,1.38,12.0,12.0
1540,2,1.78,0.89,14.0,7.0
1541,3,1.92,0.64,15.0,5.0
1542,1,0.38,0.38,3.0,3.0
1544,1,1.02,1.02,6.0,6.0
1547,1,2.03,2.03,11.0,11.0
1552,1,0.44,0.44,5.0,5.0
1553,1,2.12,2.12,22.0,22.0
1555,1,4.76,4.76,44.0,44.0
1565,1,0.79,0.79,20.0,20.0
1567,1,0.31,0.31,15.0,15.0
1568,1,5.33,5.33,94.0,94.0
1571,1,1.73,1.73,11.0,11.0
1572,2,4.46,2.23,36.0,18.0
1576,2,1.78,0.89,31.0,15.5
1580,1,0.91,0.91,62.0,62.0
1581,2,5.62,2.81,47.0,23.5
1582,2,2.19,1.09,22.0,11.0
1584,1,0.87,0.87,14.0,14.0
1591,1,0.72,0.72,7.0,7.0
1592,1,3.36,3.36,28.0,28.0
1599,2,2.46,1.23,18.0,9.0
1602,2,1.8,0.9,19.0,9.5
1605,1,1.01,1.01,7.0,7.0
1609,2,2.63,1.31,19.0,9.5
1611,1,0.22,0.22,4.0,4.0
1613,1,1.17,1.17,12.0,12.0
1621,1,1.07,1.07,8.0,8.0
1627,1,1.02,1.02,20.0,20.0
1635,1,1.29,1.29,27.0,27.0
1639,1,1.73,1.73,16.0,16.0
1642,1,1.84,1.84,12.0,12.0
1645,1,1.02,1.02,6.0,6.0
1646,1,0.74,0.74,6.0,6.0
1649,2,2.37,1.18,19.0,9.5
1650,1,1.44,1.44,25.0,25.0
1652,1,3.03,3.03,37.0,37.0
1657,2,2.19,1.1,27.0,13.5
1658,1,0.72,0.72,5.0,5.0
1663,1,0.67,0.67,6.0,6.0
1665,2,1.68,0.84,16.0,8.0
1670,2,2.03,1.02,17.0,8.5
1677,2,2.59,1.29,20.0,10.0
1682,1,0.58,0.58,8.0,8.0
1683,2,3.02,1.51,48.0,24.0
1685,1,0.45,0.45,8.0,8.0
1693,1,0.56,0.56,6.0,6.0
1696,1,1.73,1.73,23.0,23.0
1699,2,4.38,2.19,34.0,17.0
1710,1,4.53,4.53,25.0,25.0
1711,1,1.52,1.52,25.0,25.0
1715,1,1.93,1.93,36.0,36.0
1717,1,0.24,0.24,2.0,2.0
1724,1,0.77,0.77,17.0,17.0
1733,1,1.86,1.86,18.0,18.0
1734,1,0.92,0.92,7.0,7.0
1739,1,0.86,0.86,8.0,8.0
1744,2,1.32,0.66,11.0,5.5
1748,2,1.88,0.94,26.0,13.0
1749,1,1.54,1.54,11.0,11.0
1756,1,1.58,1.58,15.0,15.0
1757,1,0.53,0.53,6.0,6.0
1761,1,1.24,1.24,12.0,12.0
1770,1,3.0,3.0,25.0,25.0
1771,3,3.14,1.05,23.0,7.67
1777,1,0.52,0.52,3.0,3.0
1778,2,7.32,3.66,76.0,38.0
1780,1,4.85,4.85,49.0,49.0
1795,1,1.84,1.84,26.0,26.0
1801,2,2.12,1.06,17.0,8.5
1803,2,7.3,3.65,46.0,23.0
1807,3,2.48,0.83,21.0,7.0
1808,1,0.62,0.62,4.0,4.0
1809,1,0.8,0.8,10.0,10.0
1815,1,1.07,1.07,5.0,5.0
1817,1,0.91,0.91,10.0,10.0
1819,1,0.98,0.98,11.0,11.0
1828,2,1.73,0.87,41.0,20.5
1838,1,0.87,0.87,9.0,9.0
1843,1,0.44,0.44,2.0,2.0
1852,1,4.22,4.22,25.0,25.0
1856,1,0.65,0.65,54.0,54.0
1864,1,0.45,0.45,26.0,26.0
1867,2,1.35,0.67,12.0,6.0
1873,2,2.4,1.2,25.0,12.5
1878,1,2.16,2.16,19.0,19.0
1890,1,0.65,0.65,7.0,7.0
1896,2,5.55,2.78,51.0,25.5
1900,1,0.58,0.58,10.0,10.0
1915,2,1.22,0.61,10.0,5.0
1917,2,1.56,0.78,13.0,6.5
1919,1,0.79,0.79,8.0,8.0
1920,1,1.55,1.55,11.0,11.0
1923,1,0.56,0.56,7.0,7.0
1924,2,1.1,0.55,11.0,5.5
1933,1,3.11,3.11,28.0,28.0
1938,1,0.91,0.91,11.0,11.0
1939,1,1.01,1.01,9.0,9.0
1940,1,0.15,0.15,21.0,21.0
1951,1,0.38,0.38,3.0,3.0
1957,1,0.48,0.48,4.0,4.0
1960,4,2.12,0.53,16.0,4.0
1966,1,0.5,0.5,3.0,3.0
1972,2,1.38,0.69,10.0,5.0
1975,1,0.98,0.98,9.0,9.0
1977,1,1.92,1.92,21.0,21.0
1979,1,3.29,3.29,35.0,35.0
1982,1,0.58,0.58,4.0,4.0
1988,2,7.96,3.98,53.0,26.5
1990,1,0.67,0.67,6.0,6.0
1991,1,0.69,0.69,9.0,9.0
2002,1,1.2,1.2,8.0,8.0
2013,1,0.94,0.94,8.0,8.0
2022,1,3.18,3.18,34.0,34.0
2028,1,1.58,1.58,15.0,15.0
2030,1,1.01,1.01,12.0,12.0
2037,1,1.68,1.68,32.0,32.0
2044,1,2.48,2.48,14.0,14.0
2045,1,2.8,2.8,22.0,22.0
2046,1,0.7,0.7,5.0,5.0
2048,1,0.96,0.96,6.0,6.0
2049,1,3.04,3.04,21.0,21.0
2052,2,10.48,5.24,73.0,36.5
2055,1,1.32,1.32,12.0,12.0
2057,1,0.31,0.31,7.0,7.0
2058,2,2.76,1.38,30.0,15.0
2059,1,2.15,2.15,18.0,18.0
2062,1,0.29,0.29,4.0,4.0
2067,1,1.82,1.82,15.0,15.0
2071,1,2.25,2.25,15.0,15.0
2074,1,0.72,0.72,4.0,4.0
2075,1,0.58,0.58,4.0,4.0
2078,1,0.72,0.72,6.0,6.0
2082,1,1.14,1.14,8.0,8.0
2083,1,1.77,1.77,14.0,14.0
2087,1,2.14,2.14,15.0,15.0
2090,1,1.79,1.79,32.0,32.0
2092,1,0.69,0.69,7.0,7.0
2097,1,2.83,2.83,19.0,19.0
2099,1,0.48,0.48,7.0,7.0
2113,2,1.76,0.88,11.0,5.5
2120,1,1.35,1.35,14.0,14.0
2121,1,1.01,1.01,9.0,9.0
2130,1,0.61,0.61,6.0,6.0
2137,1,3.36,3.36,29.0,29.0
2139,2,0.9,0.45,15.0,7.5
2153,2,1.81,0.91,17.0,8.5
2154,1,1.66,1.66,18.0,18.0
2163,1,1.45,1.45,7.0,7.0
2168,1,0.74,0.74,5.0,5.0
2170,2,1.35,0.67,12.0,6.0
2175,1,1.21,1.21,10.0,10.0
2178,2,2.39,1.19,22.0,11.0
2180,1,0.74,0.74,5.0,5.0
2181,1,1.69,1.69,22.0,22.0
2184,1,3.1,3.1,20.0,20.0
2193,1,0.83,0.83,10.0,10.0
2196,2,3.75,1.87,32.0,16.0
2200,2,1.94,0.97,19.0,9.5
2203,1,1.74,1.74,10.0,10.0
2205,1,10.78,10.78,69.0,69.0
2211,1,1.05,1.05,11.0,11.0
2213,1,1.1,1.1,9.0,9.0
2215,1,1.07,1.07,11.0,11.0
2219,1,0.83,0.83,8.0,8.0
2220,1,1.05,1.05,24.0,24.0
2224,1,1.02,1.02,14.0,14.0
2232,2,2.3,1.15,14.0,7.0
2234,1,5.09,5.09,38.0,38.0
2235,1,2.3,2.3,20.0,20.0
2238,1,1.02,1.02,7.0,7.0
2242,2,18.79,9.39,114.0,57.0
2249,1,1.07,1.07,10.0,10.0
2258,1,1.84,1.84,18.0,18.0
2267,4,7.8,1.95,62.0,15.5
2268,1,1.02,1.02,29.0,29.0
2275,2,1.45,0.72,13.0,6.5
2286,1,1.93,1.93,13.0,13.0
2291,1,1.01,1.01,6.0,6.0
2300,1,0.8,0.8,9.0,9.0
2301,1,1.27,1.27,9.0,9.0
2313,1,0.94,0.94,5.0,5.0
2314,1,0.72,0.72,7.0,7.0
2320,2,2.31,1.16,14.0,7.0
2321,2,1.93,0.97,14.0,7.0
2331,1,0.31,0.31,3.0,3.0
2333,1,0.48,0.48,5.0,5.0
2334,1,1.05,1.05,7.0,7.0
2338,1,0.94,0.94,7.0,7.0
2344,1,1.54,1.54,23.0,23.0
2345,1,0.49,0.49,4.0,4.0
2350,1,1.71,1.71,9.0,9.0
2359,1,1.93,1.93,15.0,15.0
2360,1,1.6,1.6,25.0,25.0
2361,1,0.53,0.53,4.0,4.0
2365,1,0.98,0.98,12.0,12.0
2367,1,1.29,1.29,11.0,11.0
2369,1,0.92,0.92,12.0,12.0
2370,1,0.96,0.96,6.0,6.0
2371,1,3.62,3.62,20.0,20.0
2373,3,2.27,0.76,29.0,9.67
2381,2,4.55,2.28,33.0,16.5
2382,1,2.69,2.69,28.0,28.0
2384,1,3.26,3.26,26.0,26.0
2386,1,1.17,1.17,6.0,6.0
2389,1,0.15,0.15,3.0,3.0
2390,1,1.16,1.16,10.0,10.0
2397,1,1.07,1.07,14.0,14.0
2406,1,7.04,7.04,82.0,82.0
2409,1,0.67,0.67,6.0,6.0
2411,2,3.53,1.77,28.0,14.0
2412,1,0.96,0.96,7.0,7.0
2413,2,5.91,2.96,51.0,25.5
2415,2,1.79,0.89,12.0,6.0
2416,2,2.52,1.26,22.0,11.0
2417,1,1.52,1.52,10.0,10.0
2420,2,0.9,0.45,10.0,5.0
2422,1,0.15,0.15,25.0,25.0
2429,3,4.28,1.43,28.0,9.33
2432,3,6.14,2.05,45.0,15.0
2433,1,1.41,1.41,15.0,15.0
2434,1,3.84,3.84,41.0,41.0
2437,3,2.67,0.89,37.0,12.33
2442,2,10.57,5.28,54.0,27.0
2444,2,1.04,0.52,12.0,6.0
2447,1,0.58,0.58,5.0,5.0
2450,1,0.48,0.48,5.0,5.0
2451,1,0.38,0.38,4.0,4.0
2452,2,2.4,1.2,24.0,12.0
2453,2,1.53,0.76,24.0,12.0
2458,2,1.34,0.67,13.0,6.5
2460,1,0.29,0.29,2.0,2.0
2463,1,1.44,1.44,15.0,15.0
2469,2,2.26,1.13,18.0,9.0
2471,1,1.62,1.62,24.0,24.0
2476,1,1.93,1.93,24.0,24.0
2486,1,0.66,0.66,4.0,4.0
2489,1,0.66,0.66,7.0,7.0
2492,1,0.58,0.58,5.0,5.0
2497,1,3.26,3.26,20.0,20.0
2503,1,0.44,0.44,5.0,5.0
2505,1,0.5,0.5,55.0,55.0
2509,1,1.4,1.4,8.0,8.0
2515,3,5.35,1.78,59.0,19.67
2520,1,0.5,0.5,5.0,5.0
2521,1,0.58,0.58,12.0,12.0
2533,1,0.4,0.4,3.0,3.0
2538,1,0.72,0.72,6.0,6.0
2541,1,0.98,0.98,24.0,24.0
2542,4,4.96,1.24,37.0,9.25
2543,1,1.4,1.4,14.0,14.0
2546,1,0.94,0.94,14.0,14.0
2551,4,6.25,1.56,54.0,13.5
2557,1,0.36,0.36,3.0,3.0
2567,1,1.14,1.14,11.0,11.0
2572,1,1.44,1.44,11.0,11.0
2577,1,1.46,1.46,13.0,13.0
2581,1,0.83,0.83,8.0,8.0
2593,1,2.03,2.03,15.0,15.0
2594,1,1.05,1.05,12.0,12.0
2599,1,0.29,0.29,44.0,44.0
2600,2,1.35,0.67,8.0,4.0
2601,1,1.07,1.07,8.0,8.0
2603,1,1.74,1.74,19.0,19.0
2604,1,1.13,1.13,10.0,10.0
2606,1,2.88,2.88,28.0,28.0
2611,1,2.1,2.1,10.0,10.0
2621,2,2.89,1.45,24.0,12.0
2622,1,0.69,0.69,5.0,5.0
2625,1,1.25,1.25,10.0,10.0
2628,1,0.66,0.66,6.0,6.0
2631,1,3.36,3.36,19.0,19.0
2632,1,3.86,3.86,19.0,19.0
2633,1,0.44,0.44,3.0,3.0
2637,1,0.8,0.8,4.0,4.0
2641,3,5.14,1.71,35.0,11.67
2646,1,0.79,0.79,5.0,5.0
2647,1,0.94,0.94,12.0,12.0
2649,1,0.83,0.83,7.0,7.0
2653,1,0.29,0.29,4.0,4.0
2656,2,1.68,0.84,16.0,8.0
2657,1,2.24,2.24,19.0,19.0
2658,1,1.63,1.63,13.0,13.0
2661,3,11.11,3.7,71.0,23.67
2662,1,0.52,0.52,7.0,7.0
2666,2,1.63,0.82,33.0,16.5
2667,1,0.96,0.96,7.0,7.0
