userid,R,F,M,R_SC,F_SC,M_SC
270,1,2,2.2,-0.5962606993748027,-1.1663039279150031,-1.1234337208815037
271,0,5,6.86,-0.7859687761791295,-0.3032315235411064,-0.3991950357209676
272,7,5,6.02,0.5419877614511579,-0.3032315235411064,-0.5297444982820944
273,3,2,2.01,-0.2168445457661492,-1.1663039279150031,-1.1529627659846158
275,3,3,6.59,-0.2168445457661492,-0.8786131264570376,-0.44115736297275837
276,11,3,2.01,1.300820068668465,-0.8786131264570376,-1.1529627659846158
277,10,2,6.29,1.1111119918641383,-1.1663039279150031,-0.4877821710303036
278,5,4,6.25,0.16257160784250435,-0.590922324999072,-0.49399881210464297
279,4,8,11.85,-0.027136468961822417,0.5598408808327904,0.3763309383028682
280,1,3,4.62,-0.5962606993748027,-0.8786131264570376,-0.747326935883972
281,10,2,2.6,1.1111119918641383,-1.1663039279150031,-1.06126731013811
282,5,3,3.71,0.16257160784250435,-0.8786131264570376,-0.8887555203251927
283,6,1,4.59,0.3522796846468311,-1.4539947293729687,-0.7519894166897266
284,4,4,5.26,-0.027136468961822417,-0.590922324999072,-0.6478606786945423
285,3,7,7.97,-0.2168445457661492,0.27215007937482477,-0.22668324590805025
286,0,2,4.96,-0.7859687761791295,-1.1663039279150031,-0.6944854867520875
287,1,7,8.46,-0.5962606993748027,0.27215007937482477,-0.15052939274739285
288,0,7,8.63,-0.7859687761791295,0.27215007937482477,-0.12410866818145057
289,7,3,5.01,0.5419877614511579,-0.8786131264570376,-0.6867146854091634
290,0,3,2.85,-0.7859687761791295,-0.8786131264570376,-1.022413303423489
291,1,4,4.45,-0.5962606993748027,-0.590922324999072,-0.7737476604499144
292,4,2,2.35,-0.027136468961822417,-1.1663039279150031,-1.100121316852731
293,1,6,8.23,-0.5962606993748027,-0.01554072208314083,-0.18627507892484427
294,15,1,2.6,2.059652375885772,-1.4539947293729687,-1.06126731013811
295,10,3,5.76,1.1111119918641383,-0.8786131264570376,-0.5701526652653002
296,6,2,3.77,0.3522796846468311,-1.1663039279150031,-0.8794305587136837
297,13,3,8.51,1.6802362222771188,-0.8786131264570376,-0.1427585914044688
298,4,7,8.2,-0.027136468961822417,0.27215007937482477,-0.19093755973059898
