userid,R,F,M,R_SC,F_SC,M_SC,cluster
90,0,4,4.43,-0.7859687761791295,-0.590922324999072,-0.7768559809870841,2
91,0,11,14.06,-0.7859687761791295,1.422913285206687,0.7198003576601183,0
92,2,10,10.08,-0.406552622570476,1.1352224837487217,0.1012445707633513,0
93,21,2,5.82,3.197900836711733,-1.1663039279150031,-0.5608277036537911,1
94,0,7,9.66,-0.7859687761791295,0.2721500793748247,0.035969839482788,2
95,5,11,10.31,0.1625716078425043,1.422913285206687,0.1369902569408027,0
96,8,4,4.07,0.7316958382554847,-0.590922324999072,-0.8328057506561384,2
97,6,4,7.48,0.3522796846468311,-0.590922324999072,-0.3028370990687073,2
98,0,9,20.9,-0.7859687761791295,0.8475316822907559,1.7828459813721496,0
99,5,2,7.92,0.1625716078425043,-1.1663039279150031,-0.2344540472509744,2
100,0,4,9.06,-0.7859687761791295,-0.590922324999072,-0.0572797766323024,2
101,1,5,5.15,-0.5962606993748027,-0.3032315235411064,-0.6649564416489755,2
102,3,2,3.99,-0.2168445457661492,-1.1663039279150031,-0.845239032804817,2
103,0,9,11.48,-0.7859687761791295,0.8475316822907559,0.3188270083652292,0
104,4,1,1.49,-0.0271364689618224,-1.4539947293729687,-1.2337790999510274,2
105,7,6,13.01,0.5419877614511579,-0.0155407220831408,0.5566135294587098,2
106,3,11,17.08,-0.2168445457661492,1.422913285206687,1.18915675877274,0
107,0,8,8.44,-0.7859687761791295,0.5598408808327904,-0.1536377132845627,2
108,1,8,15.82,-0.5962606993748027,0.5598408808327904,0.9933325649310504,0
109,3,10,18.12,-0.2168445457661492,1.1352224837487217,1.350789426705564,0
110,2,7,15.02,-0.406552622570476,0.2721500793748247,0.8689997434442629,0
111,1,8,19.57,-0.5962606993748027,0.5598408808327904,1.576142665650366,0
112,4,4,5.61,-0.0271364689618224,-0.590922324999072,-0.5934650692940727,2
113,3,6,9.72,-0.2168445457661492,-0.0155407220831408,0.0452948010942971,2
114,0,8,11.2,-0.7859687761791295,0.5598408808327904,0.2753105208448534,0
115,0,11,20.16,-0.7859687761791295,1.422913285206687,1.6678381214968714,0
116,8,1,0.78,0.7316958382554847,-1.4539947293729687,-1.344124479020551,2
117,1,7,7.27,-0.5962606993748027,0.2721500793748247,-0.3354744647089892,2
118,3,3,2.7,-0.2168445457661492,-0.8786131264570376,-1.0457257074522617,2
119,0,4,10.28,-0.7859687761791295,-0.590922324999072,0.132327776135048,2
120,15,4,4.29,2.059652375885772,-0.590922324999072,-0.7986142247472718,1
121,5,3,5.57,0.1625716078425043,-0.8786131264570376,-0.5996817103684121,2
122,2,12,15.7,-0.406552622570476,1.7106040866646526,0.974682641708032,0
123,2,12,15.74,-0.406552622570476,1.7106040866646526,0.9808992827823716,0
124,2,12,21.05,-0.406552622570476,1.7106040866646526,1.8061583854009224,0
125,0,14,17.8,-0.7859687761791295,2.285985689580584,1.301056298110849,0
126,19,6,5.68,2.818484683103079,-0.0155407220831408,-0.582585947413979,1
127,2,2,1.44,-0.406552622570476,-1.1663039279150031,-1.2415499012939517,2
128,21,6,4.84,3.197900836711733,-0.0155407220831408,-0.7131354099751056,1
129,5,5,3.27,0.1625716078425043,-0.3032315235411064,-0.9571385721429256,2
130,16,3,3.61,2.249360452690099,-0.8786131264570376,-0.9042971230110411,1
131,8,6,8.19,0.7316958382554847,-0.0155407220831408,-0.1924917199991838,2
132,6,6,8.29,0.3522796846468311,-0.0155407220831408,-0.1769501173133354,2
133,18,4,4.81,2.6287766062987528,-0.590922324999072,-0.7177978907808602,1
134,1,9,9.62,-0.5962606993748027,0.8475316822907559,0.0297531984084484,0
135,5,11,10.43,0.1625716078425043,1.422913285206687,0.1556401801638207,0
136,0,7,8.62,-0.7859687761791295,0.2721500793748247,-0.1256628284500356,2
137,3,9,15.42,-0.2168445457661492,0.8475316822907559,0.9311661541876566,0
138,0,2,2.7,-0.7859687761791295,-1.1663039279150031,-1.0457257074522617,2
139,18,3,7.02,2.6287766062987528,-0.8786131264570376,-0.3743284714236102,1
140,0,11,16.12,-0.7859687761791295,1.422913285206687,1.0399573729885956,0
141,1,5,12.41,-0.5962606993748027,-0.3032315235411064,0.4633639133436193,2
142,7,13,18.4,0.5419877614511579,1.9982948881226184,1.394305914225939,0
143,4,6,9.32,-0.0271364689618224,-0.0155407220831408,-0.0168716096490965,2
144,4,7,11.34,-0.0271364689618224,0.2721500793748247,0.2970687646050413,2
145,9,7,8.42,0.9214039150598116,0.2721500793748247,-0.1567460338217323,2
146,0,6,6.39,-0.7859687761791295,-0.0155407220831408,-0.4722405683444552,2
147,27,1,4.98,4.336149297537694,-1.4539947293729687,-0.6913771662149177,1
148,8,7,8.35,0.7316958382554847,0.2721500793748247,-0.1676251557018263,2
149,0,8,10.95,-0.7859687761791295,0.5598408808327904,0.2364565141302324,0
150,0,6,15.68,-0.7859687761791295,-0.0155407220831408,0.9715743211708624,0
151,26,2,1.22,4.146441220733367,-1.1663039279150031,-1.275741427202818,1
152,0,13,19.15,-0.7859687761791295,1.9982948881226184,1.5108679343698022,0
153,1,4,4.07,-0.5962606993748027,-0.590922324999072,-0.8328057506561384,2
154,2,6,5.03,-0.406552622570476,-0.0155407220831408,-0.6836063648719936,2
155,14,3,2.15,1.8699442990814452,-0.8786131264570376,-1.1312045222244278,1
156,6,3,8.93,0.3522796846468311,-0.8786131264570376,-0.0774838601239054,2
157,9,2,1.66,0.9214039150598116,-1.1663039279150031,-1.2073583753850852,1
158,12,4,8.86,1.490528145472792,-0.590922324999072,-0.0883629820039994,1
159,1,4,6.71,-0.5962606993748027,-0.590922324999072,-0.4225074397497402,2
160,15,1,0.15,2.059652375885772,-1.4539947293729687,-1.4420365759413962,1
161,2,6,16.44,-0.406552622570476,-0.0155407220831408,1.0896905015833107,0
162,1,4,7.09,-0.5962606993748027,-0.590922324999072,-0.3634493495435162,2
163,3,2,1.71,-0.2168445457661492,-1.1663039279150031,-1.1995875740421609,2
164,8,3,2.27,0.7316958382554847,-0.8786131264570376,-1.1125545990014098,2
165,6,5,8.72,0.3522796846468311,-0.3032315235411064,-0.110121225764187,2
166,6,5,7.43,0.3522796846468311,-0.3032315235411064,-0.3106079004116317,2
167,3,1,1.63,-0.2168445457661492,-1.4539947293729687,-1.2120208561908397,2
168,4,5,12.03,-0.0271364689618224,-0.3032315235411064,0.4043058231373952,2
169,0,9,13.32,-0.7859687761791295,0.8475316822907559,0.60479249778484,0
170,10,1,1.32,1.1111119918641383,-1.4539947293729687,-1.2601998245169697,1
171,6,4,7.63,0.3522796846468311,-0.590922324999072,-0.2795246950399348,2
172,0,8,15.02,-0.7859687761791295,0.5598408808327904,0.8689997434442629,0
173,3,8,6.97,-0.2168445457661492,0.5598408808327904,-0.3820992727665344,2
174,9,2,0.89,0.9214039150598116,-1.1663039279150031,-1.3270287160661178,1
175,9,2,2.09,0.9214039150598116,-1.1663039279150031,-1.140529483835937,1
176,0,10,18.57,-0.7859687761791295,1.1352224837487217,1.4207266387918818,0
177,0,11,14.74,-0.7859687761791295,1.422913285206687,0.8254832559238875,0
178,2,1,0.52,-0.406552622570476,-1.4539947293729687,-1.3845326460037573,2
179,11,2,1.77,1.300820068668465,-1.1663039279150031,-1.190262612430652,1
180,6,3,12.23,0.3522796846468311,-0.8786131264570376,0.4353890285090923,2
181,4,3,2.58,-0.0271364689618224,-0.8786131264570376,-1.0643756306752796,2
182,1,5,12.65,-0.5962606993748027,-0.3032315235411064,0.5006637597896556,2
183,0,2,2.83,-0.7859687761791295,-1.1663039279150031,-1.0255216239606586,2
184,8,5,3.57,0.7316958382554847,-0.3032315235411064,-0.9105137640853804,2
185,3,7,10.31,-0.2168445457661492,0.2721500793748247,0.1369902569408027,2
186,8,2,8.37,0.7316958382554847,-1.1663039279150031,-0.1645168351646566,2
187,0,6,6.59,-0.7859687761791295,-0.0155407220831408,-0.4411573629727583,2
188,0,7,14.9,-0.7859687761791295,0.2721500793748247,0.850349820221245,0
189,3,8,8.7,-0.2168445457661492,0.5598408808327904,-0.1132295463013569,2
190,5,1,3.19,0.1625716078425043,-1.4539947293729687,-0.9695718542916044,2
193,15,1,3.44,2.059652375885772,-1.4539947293729687,-0.9307178475769836,1
194,1,8,19.16,-0.5962606993748027,0.5598408808327904,1.5124220946383873,0
195,1,2,3.16,-0.5962606993748027,-1.1663039279150031,-0.9742343350973588,2
196,1,4,9.82,-0.5962606993748027,-0.590922324999072,0.0608364037801454,2
197,1,7,16.96,-0.5962606993748027,0.2721500793748247,1.1705068355497223,0
198,0,4,4.47,-0.7859687761791295,-0.590922324999072,-0.7706393399127448,2
199,0,2,4.97,-0.7859687761791295,-1.1663039279150031,-0.6929313264835026,2
200,3,8,11.4,-0.2168445457661492,0.5598408808327904,0.3063937262165504,0
201,4,3,7.78,-0.0271364689618224,-0.8786131264570376,-0.2562122910111621,2
202,1,6,7.01,-0.5962606993748027,-0.0155407220831408,-0.375882631692195,2
203,0,1,0.67,-0.7859687761791295,-1.4539947293729687,-1.3612202419749844,2
204,3,3,2.42,-0.2168445457661492,-0.8786131264570376,-1.0892421949726372,2
205,3,4,4.7,-0.2168445457661492,-0.590922324999072,-0.7348936537352934,2
206,2,11,21.94,-0.406552622570476,1.422913285206687,1.9444786493049733,0
207,3,15,35.02,-0.2168445457661492,2.573676491038549,3.9773202806139465,0
208,9,8,9.94,0.9214039150598116,0.5598408808327904,0.0794863270031634,0
209,0,7,21.28,-0.7859687761791295,0.2721500793748247,1.8419040715783737,0
210,10,5,5.61,1.1111119918641383,-0.3032315235411064,-0.5934650692940727,1
211,4,14,17.56,-0.0271364689618224,2.285985689580584,1.2637564516648123,0
212,15,3,7.76,2.059652375885772,-0.8786131264570376,-0.2593206115483319,1
213,2,5,7.98,-0.406552622570476,-0.3032315235411064,-0.2251290856394653,2
214,0,8,10.93,-0.7859687761791295,0.5598408808327904,0.2333481935930628,0
215,0,10,22.92,-0.7859687761791295,1.1352224837487217,2.096786355626288,0
216,3,9,15.43,-0.2168445457661492,0.8475316822907559,0.9327203144562416,0
217,15,9,19.94,2.059652375885772,0.8475316822907559,1.633646595588005,0
218,0,10,19.87,-0.7859687761791295,1.1352224837487217,1.6227674737079112,0
219,6,8,6.19,0.3522796846468311,0.5598408808327904,-0.5033237737161519,2
220,7,1,1.13,0.5419877614511579,-1.4539947293729687,-1.289728869620082,2
221,0,5,6.52,-0.7859687761791295,-0.3032315235411064,-0.4520364848528523,2
222,5,5,8.15,0.1625716078425043,-0.3032315235411064,-0.198708361073523,2
224,12,2,1.01,1.490528145472792,-1.1663039279150031,-1.3083787928431,1
225,0,5,6.48,-0.7859687761791295,-0.3032315235411064,-0.4582531259271915,2
226,0,13,20.25,-0.7859687761791295,1.9982948881226184,1.681825563914135,0
227,5,2,2.86,0.1625716078425043,-1.1663039279150031,-1.0208591431549043,2
228,0,9,13.58,-0.7859687761791295,0.8475316822907559,0.6452006647680458,0
229,15,1,6.36,2.059652375885772,-1.4539947293729687,-0.4769030491502096,1
230,2,1,0.58,-0.406552622570476,-1.4539947293729687,-1.375207684392248,2
231,11,4,11.44,1.300820068668465,-0.590922324999072,0.3126103672908896,1
232,1,5,14.0,-0.5962606993748027,-0.3032315235411064,0.7104753960486091,2
233,10,4,5.54,1.1111119918641383,-0.590922324999072,-0.6043441911741667,1
234,4,7,9.12,-0.0271364689618224,0.2721500793748247,-0.0479548150207935,2
235,2,5,4.1,-0.406552622570476,-0.3032315235411064,-0.8281432698503839,2
236,7,2,3.54,0.5419877614511579,-1.1663039279150031,-0.9151762448911348,2
237,0,2,2.39,-0.7859687761791295,-1.1663039279150031,-1.0939046757783917,2
238,4,4,6.67,-0.0271364689618224,-0.590922324999072,-0.4287240808240796,2
239,3,8,10.9,-0.2168445457661492,0.5598408808327904,0.2286857127873083,0
240,4,5,6.94,-0.0271364689618224,-0.3032315235411064,-0.3867617535722888,2
241,1,5,10.32,-0.5962606993748027,-0.3032315235411064,0.1385444172093875,2
242,0,6,6.17,-0.7859687761791295,-0.0155407220831408,-0.5064320942533217,2
243,11,1,0.97,1.300820068668465,-1.4539947293729687,-1.314595433917439,1
244,0,5,5.91,-0.7859687761791295,-0.3032315235411064,-0.5468402612365275,2
245,0,11,13.87,-0.7859687761791295,1.422913285206687,0.6902713125570061,0
246,3,4,7.55,-0.2168445457661492,-0.590922324999072,-0.2919579771886136,2
247,4,7,18.74,-0.0271364689618224,0.2721500793748247,1.4471473633578238,0
248,0,2,3.9,-0.7859687761791295,-1.1663039279150031,-0.8592264752220806,2
249,2,2,1.22,-0.406552622570476,-1.1663039279150031,-1.275741427202818,2
250,6,9,18.49,0.3522796846468311,0.8475316822907559,1.4082933566432028,0
251,2,1,2.69,-0.406552622570476,-1.4539947293729687,-1.0472798677208466,2
252,3,1,1.49,-0.2168445457661492,-1.4539947293729687,-1.2337790999510274,2
253,2,5,4.49,-0.406552622570476,-0.3032315235411064,-0.767531019375575,2
254,6,6,9.32,0.3522796846468311,-0.0155407220831408,-0.0168716096490965,2
256,0,3,4.2,-0.7859687761791295,-0.8786131264570376,-0.8126016671645354,2
257,9,3,2.45,0.9214039150598116,-0.8786131264570376,-1.0845797141668827,1
258,3,4,9.45,-0.2168445457661492,-0.590922324999072,0.0033324738425061,2
259,4,3,2.93,-0.0271364689618224,-0.8786131264570376,-1.0099800212748102,2
260,14,2,2.95,1.8699442990814452,-1.1663039279150031,-1.0068717007376409,1
261,2,5,4.36,-0.406552622570476,-0.3032315235411064,-0.787735102867178,2
262,3,3,4.39,-0.2168445457661492,-0.8786131264570376,-0.7830726220614235,2
263,0,2,1.34,-0.7859687761791295,-1.1663039279150031,-1.2570915039798,2
264,0,2,2.86,-0.7859687761791295,-1.1663039279150031,-1.0208591431549043,2
265,0,12,13.05,-0.7859687761791295,1.7106040866646526,0.5628301705330493,0
266,3,4,8.85,-0.2168445457661492,-0.590922324999072,-0.0899171422725842,2
267,0,4,5.77,-0.7859687761791295,-0.590922324999072,-0.5685985049967154,2
268,0,6,9.49,-0.7859687761791295,-0.0155407220831408,0.0095491149168457,2
269,1,12,19.87,-0.5962606993748027,1.7106040866646526,1.6227674737079112,0
270,1,2,2.2,-0.5962606993748027,-1.1663039279150031,-1.1234337208815035,2
271,0,5,6.86,-0.7859687761791295,-0.3032315235411064,-0.3991950357209676,2
272,7,5,6.02,0.5419877614511579,-0.3032315235411064,-0.5297444982820944,2
273,3,2,2.01,-0.2168445457661492,-1.1663039279150031,-1.1529627659846158,2
275,3,3,6.59,-0.2168445457661492,-0.8786131264570376,-0.4411573629727583,2
276,11,3,2.01,1.300820068668465,-0.8786131264570376,-1.1529627659846158,1
277,10,2,6.29,1.1111119918641383,-1.1663039279150031,-0.4877821710303036,1
278,5,4,6.25,0.1625716078425043,-0.590922324999072,-0.4939988121046429,2
279,4,8,11.85,-0.0271364689618224,0.5598408808327904,0.3763309383028682,0
280,1,3,4.62,-0.5962606993748027,-0.8786131264570376,-0.747326935883972,2
281,10,2,2.6,1.1111119918641383,-1.1663039279150031,-1.06126731013811,1
282,5,3,3.71,0.1625716078425043,-0.8786131264570376,-0.8887555203251927,2
283,6,1,4.59,0.3522796846468311,-1.4539947293729687,-0.7519894166897266,2
284,4,4,5.26,-0.0271364689618224,-0.590922324999072,-0.6478606786945423,2
285,3,7,7.97,-0.2168445457661492,0.2721500793748247,-0.2266832459080502,2
286,0,2,4.96,-0.7859687761791295,-1.1663039279150031,-0.6944854867520875,2
287,1,7,8.46,-0.5962606993748027,0.2721500793748247,-0.1505293927473928,2
288,0,7,8.63,-0.7859687761791295,0.2721500793748247,-0.1241086681814505,2
289,7,3,5.01,0.5419877614511579,-0.8786131264570376,-0.6867146854091634,2
290,0,3,2.85,-0.7859687761791295,-0.8786131264570376,-1.022413303423489,2
291,1,4,4.45,-0.5962606993748027,-0.590922324999072,-0.7737476604499144,2
292,4,2,2.35,-0.0271364689618224,-1.1663039279150031,-1.100121316852731,2
293,1,6,8.23,-0.5962606993748027,-0.0155407220831408,-0.1862750789248442,2
294,15,1,2.6,2.059652375885772,-1.4539947293729687,-1.06126731013811,1
295,10,3,5.76,1.1111119918641383,-0.8786131264570376,-0.5701526652653002,1
296,6,2,3.77,0.3522796846468311,-1.1663039279150031,-0.8794305587136837,2
297,13,3,8.51,1.6802362222771188,-0.8786131264570376,-0.1427585914044688,1
298,4,7,8.2,-0.0271364689618224,0.2721500793748247,-0.1909375597305989,2
299,6,2,4.55,0.3522796846468311,-1.1663039279150031,-0.758206057764066,2
300,6,3,7.21,0.3522796846468311,-0.8786131264570376,-0.3447994263204982,2
301,1,8,8.8,-0.5962606993748027,0.5598408808327904,-0.0976879436155082,2
302,1,3,2.36,-0.5962606993748027,-0.8786131264570376,-1.0985671565841464,2
303,11,1,2.38,1.300820068668465,-1.4539947293729687,-1.0954588360469766,1
304,0,4,9.6,-0.7859687761791295,-0.590922324999072,0.0266448778712788,2
305,6,3,11.26,0.3522796846468311,-0.8786131264570376,0.2846354824563625,2
306,9,1,0.66,0.9214039150598116,-1.4539947293729687,-1.3627744022435693,1
307,0,9,13.84,-0.7859687761791295,0.8475316822907559,0.6856088317512516,0
308,8,2,1.63,0.7316958382554847,-1.1663039279150031,-1.2120208561908397,2
309,4,1,2.4,-0.0271364689618224,-1.4539947293729687,-1.0923505155098068,2
310,2,2,5.56,-0.406552622570476,-1.1663039279150031,-0.601235870636997,2
311,6,4,6.78,0.3522796846468311,-0.590922324999072,-0.4116283178696463,2
312,0,12,23.93,-0.7859687761791295,1.7106040866646526,2.253756542753357,0
313,0,4,4.45,-0.7859687761791295,-0.590922324999072,-0.7737476604499144,2
314,7,3,7.81,0.5419877614511579,-0.8786131264570376,-0.2515498102054077,2
315,2,7,22.57,-0.406552622570476,0.2721500793748247,2.042390746225818,0
316,8,4,9.48,0.7316958382554847,-0.590922324999072,0.0079949546482608,2
317,6,2,1.06,0.3522796846468311,-1.1663039279150031,-1.3006079915001756,2
318,4,3,5.53,-0.0271364689618224,-0.8786131264570376,-0.6058983514427515,2
319,2,1,0.58,-0.406552622570476,-1.4539947293729687,-1.375207684392248,2
320,2,1,1.01,-0.406552622570476,-1.4539947293729687,-1.3083787928431,2
321,0,3,5.72,-0.7859687761791295,-0.8786131264570376,-0.5763693063396396,2
322,2,5,10.63,-0.406552622570476,-0.3032315235411064,0.1867233855355177,2
323,4,7,15.58,-0.0271364689618224,0.2721500793748247,0.956032718485014,0
324,4,8,16.85,-0.0271364689618224,0.5598408808327904,1.153411072595289,0
325,4,4,4.95,-0.0271364689618224,-0.590922324999072,-0.6960396470206723,2
326,1,6,8.73,-0.5962606993748027,-0.0155407220831408,-0.1085670654956022,2
327,5,6,3.81,0.1625716078425043,-0.0155407220831408,-0.8732139176393442,2
328,2,3,6.0,-0.406552622570476,-0.8786131264570376,-0.5328528188192639,2
329,7,3,3.34,0.5419877614511579,-0.8786131264570376,-0.946259450262832,2
330,1,4,10.58,-0.5962606993748027,-0.590922324999072,0.1789525841925934,2
331,0,7,13.72,-0.7859687761791295,0.2721500793748247,0.6669589085282337,0
332,6,2,2.99,0.3522796846468311,-1.1663039279150031,-1.0006550596633013,2
333,0,2,5.95,-0.7859687761791295,-1.1663039279150031,-0.5406236201621881,2
334,2,5,5.29,-0.406552622570476,-0.3032315235411064,-0.6431981978887877,2
335,17,6,11.81,2.439068529494426,-0.0155407220831408,0.3701142972285289,1
336,3,2,2.17,-0.2168445457661492,-1.1663039279150031,-1.1280962016872582,2
337,15,5,6.1,2.059652375885772,-0.3032315235411064,-0.5173112161334156,1
338,2,4,3.41,-0.406552622570476,-0.590922324999072,-0.935380328382738,2
339,4,5,9.78,-0.0271364689618224,-0.3032315235411064,0.0546197627058059,2
340,3,2,3.39,-0.2168445457661492,-1.1663039279150031,-0.9384886489199076,2
341,0,3,4.6,-0.7859687761791295,-0.8786131264570376,-0.7504352564211418,2
342,0,1,1.59,-0.7859687761791295,-1.4539947293729687,-1.218237497265179,2
343,1,5,7.58,-0.5962606993748027,-0.3032315235411064,-0.287295496382859,2
344,0,6,7.9,-0.7859687761791295,-0.0155407220831408,-0.237562367788144,2
345,1,3,4.93,-0.5962606993748027,-0.8786131264570376,-0.699147967557842,2
346,9,4,6.84,0.9214039150598116,-0.590922324999072,-0.4023033562581373,2
347,4,5,6.92,-0.0271364689618224,-0.3032315235411064,-0.3898700741094585,2
348,0,2,3.1,-0.7859687761791295,-1.1663039279150031,-0.983559296708868,2
349,4,7,11.75,-0.0271364689618224,0.2721500793748247,0.3607893356170198,0
350,2,6,8.07,-0.406552622570476,-0.0155407220831408,-0.2111416432222017,2
351,1,3,2.23,-0.5962606993748027,-0.8786131264570376,-1.1187712400757492,2
352,1,7,11.88,-0.5962606993748027,0.2721500793748247,0.3809934191086229,0
353,0,5,4.88,-0.7859687761791295,-0.3032315235411064,-0.7069187689007662,2
354,0,2,1.73,-0.7859687761791295,-1.1663039279150031,-1.1964792535049913,2
355,0,6,9.96,-0.7859687761791295,-0.0155407220831408,0.0825946475403333,2
356,3,5,4.5,-0.2168445457661492,-0.3032315235411064,-0.7659768591069902,2
357,7,1,1.9,0.5419877614511579,-1.4539947293729687,-1.1700585289390488,2
358,5,4,6.73,0.1625716078425043,-0.590922324999072,-0.4193991192125705,2
