userid,recency(day),frequency(次),total_distance(km),total_duration(min),avg_duration(min),avg_speed(km/h)
1362,0,1,2.23,20.0,20.0,6.69
1363,1,7,4.74,44.0,6.29,6.51
1364,0,4,5.91,37.0,9.25,9.45
1365,6,6,12.43,120.0,20.0,6.21
1366,14,5,5.04,78.0,15.6,4.6
1367,5,2,6.28,50.0,25.0,6.9
1368,2,7,9.24,92.0,13.14,6.08
1369,4,5,9.73,71.0,14.2,8.12
1370,0,7,14.51,143.0,20.43,6.79
1371,2,12,17.2,158.0,13.17,6.95
1372,1,8,10.59,105.0,13.12,6.14
1373,0,10,13.26,114.0,11.4,6.79
1374,13,7,6.64,60.0,8.57,6.46
1375,19,1,1.23,8.0,8.0,9.25
1376,0,8,9.56,75.0,9.38,7.59
1377,0,5,10.2,79.0,15.8,7.43
1378,2,5,8.82,115.0,23.0,6.44
1379,17,2,2.28,24.0,12.0,5.36
1380,30,1,0.91,20.0,20.0,2.73
1381,2,8,13.01,97.0,12.12,7.92
1382,9,1,2.84,22.0,22.0,7.74
1383,0,6,8.26,76.0,12.67,5.89
1384,3,12,12.36,157.0,13.08,5.1
1385,2,10,12.82,102.0,10.2,7.46
1386,0,4,4.88,67.0,16.75,5.05
1387,25,3,7.78,76.0,25.33,6.65
1388,2,7,8.98,91.0,13.0,6.29
1389,23,3,4.97,34.0,11.33,8.62
1390,7,3,2.85,41.0,13.67,6.02
1391,10,7,9.82,113.0,16.14,6.1
1392,3,4,4.2,28.0,7.0,9.12
1393,1,10,11.52,128.0,12.8,7.0
1394,0,10,19.45,218.0,21.8,5.5
1395,0,14,16.39,187.0,13.36,5.52
1396,4,7,10.79,91.0,13.0,8.15
1397,3,10,9.59,124.0,12.4,5.72
1398,8,10,17.75,192.0,19.2,6.33
1399,1,6,7.42,87.0,14.5,6.53
1400,1,8,13.39,149.0,18.62,5.86
1401,9,5,6.6,53.0,10.6,6.74
1402,0,15,27.17,303.0,20.2,7.2
1403,6,12,19.11,186.0,15.5,6.83
1404,3,4,4.74,41.0,10.25,7.4
1406,1,6,8.93,83.0,13.83,6.46
1407,0,5,5.34,52.0,10.4,6.25
1408,2,6,8.31,104.0,17.33,5.78
1409,2,10,15.2,142.0,14.2,6.56
1410,26,1,4.15,49.0,49.0,5.08
1411,13,7,14.86,122.0,17.43,6.85
1412,13,4,3.08,176.0,44.0,4.14
1413,0,7,11.13,92.0,13.14,7.82
1414,6,2,3.4,20.0,10.0,10.41
1415,3,6,11.14,105.0,17.5,6.47
1416,0,14,30.7,281.0,20.07,6.28
1417,2,5,11.25,86.0,17.2,7.77
1418,19,1,2.01,16.0,16.0,7.53
1419,19,9,10.91,149.0,16.56,6.06
1420,1,9,18.75,148.0,16.44,8.09
1421,0,8,12.05,118.0,14.75,6.26
1422,6,3,7.68,51.0,17.0,8.42
1423,2,10,8.34,79.0,7.9,7.11
1424,0,7,7.54,89.0,12.71,6.52
1425,2,11,21.31,175.0,15.91,6.82
1426,0,4,5.3,51.0,12.75,6.29
1427,0,10,19.35,181.0,18.1,7.2
1428,0,9,10.53,91.0,10.11,9.26
1429,1,4,7.11,57.0,14.25,7.58
1430,6,3,3.0,39.0,13.0,4.79
1431,0,4,9.99,60.0,15.0,9.8
1432,0,7,15.86,146.0,20.86,6.62
1433,3,9,19.26,196.0,21.78,6.5
1434,1,4,6.41,63.0,15.75,5.64
1435,5,5,12.08,110.0,22.0,6.17
1436,1,16,20.2,293.0,18.31,5.28
1437,0,10,20.4,260.0,26.0,6.29
