userid,recency(day),frequency(次),total_distance(km),total_duration(min),avg_duration(min),avg_speed(km/h)
4520,6,8,16.19,162.0,20.25,7.68
4521,11,5,4.8,60.0,12.0,5.03
4522,2,8,9.71,106.0,13.25,6.25
4523,0,8,9.12,178.0,22.25,7.1
4524,0,9,19.5,153.0,17.0,8.31
4525,3,5,4.92,49.0,9.8,6.99
4526,0,13,19.7,148.0,11.38,7.55
4527,0,16,36.21,415.0,25.94,6.52
4528,0,9,10.82,100.0,11.11,6.38
4529,0,3,5.98,50.0,16.67,6.26
4530,6,13,16.55,263.0,20.23,5.56
4531,5,7,13.24,110.0,15.71,7.06
4532,1,4,2.59,24.0,6.0,6.72
4533,18,3,2.84,30.0,10.0,6.08
4534,23,2,3.06,43.0,21.5,4.36
4535,6,4,5.02,63.0,15.75,6.54
4536,5,10,12.67,148.0,14.8,5.42
4537,2,10,17.12,171.0,17.1,6.09
4538,0,13,30.18,275.0,21.15,6.9
4539,0,12,25.61,284.0,23.67,6.24
4540,0,11,25.01,232.0,21.09,6.21
4542,2,9,11.68,123.0,13.67,6.3
4543,4,13,15.02,148.0,11.38,6.39
4544,5,9,10.64,93.0,10.33,6.64
4545,8,6,4.77,51.0,8.5,6.98
4546,0,5,10.74,78.0,15.6,8.07
4547,1,8,14.14,161.0,20.12,5.65
4548,0,7,6.17,81.0,11.57,5.83
4549,10,7,10.79,125.0,17.86,6.34
4550,0,7,6.93,56.0,8.0,7.25
4551,0,8,12.4,100.0,12.5,7.31
4552,3,6,11.05,93.0,15.5,6.12
4553,1,5,7.63,60.0,12.0,8.24
4554,3,9,19.16,205.0,22.78,6.77
4555,2,4,4.53,44.0,11.0,5.79
4556,11,5,3.88,54.0,10.8,6.07
4557,3,4,3.96,28.0,7.0,9.85
4558,4,6,6.44,61.0,10.17,7.16
4559,18,5,11.37,96.0,19.2,6.63
4560,19,4,5.84,47.0,11.75,8.5
4561,2,10,7.67,170.0,17.0,5.25
4562,0,7,14.36,141.0,20.14,7.56
4563,9,5,10.95,81.0,16.2,7.59
4564,9,3,5.38,63.0,21.0,5.52
4565,8,5,5.12,51.0,10.2,6.17
4566,2,6,5.97,46.0,7.67,8.09
4567,9,4,2.62,21.0,5.25,8.93
4568,1,6,15.51,129.0,21.5,7.97
4569,3,9,12.1,134.0,14.89,5.76
4570,0,12,19.18,235.0,19.58,6.11
4571,0,15,28.91,279.0,18.6,6.9
4572,2,5,6.43,78.0,15.6,4.96
4573,3,5,7.2,75.0,15.0,5.31
4574,16,3,2.43,20.0,6.67,7.26
4575,2,7,14.65,108.0,15.43,7.49
4576,2,8,19.32,222.0,27.75,6.08
4577,3,17,25.83,270.0,15.88,6.49
4578,18,5,7.41,62.0,12.4,7.88
4579,17,9,18.62,152.0,16.89,7.34
4580,1,10,10.82,119.0,11.9,6.06
4581,5,11,17.76,132.0,12.0,8.06
4582,0,13,17.25,177.0,13.62,6.43
4583,4,5,12.02,86.0,17.2,7.43
4584,5,6,7.78,60.0,10.0,8.14
4585,4,6,11.23,114.0,19.0,5.4
4586,30,2,3.81,32.0,16.0,6.3
4587,0,6,8.16,130.0,21.67,4.19
4588,2,7,7.91,126.0,18.0,6.12
4589,2,8,13.81,138.0,17.25,7.37
4590,7,2,2.46,26.0,13.0,5.28
4591,0,15,25.17,218.0,14.53,7.32
4592,2,9,10.82,119.0,13.22,6.36
4593,0,9,7.82,81.0,9.0,6.37
4594,11,7,9.27,71.0,10.14,7.71
4595,4,6,11.19,73.0,12.17,9.12
4596,5,8,15.35,115.0,14.38,8.0
4597,5,7,10.26,85.0,12.14,7.05
4598,1,8,14.08,107.0,13.38,7.6
4599,0,8,11.55,162.0,20.25,5.53
4600,9,4,5.99,59.0,14.75,6.19
4601,0,10,16.58,196.0,19.6,6.1
4602,1,10,10.65,225.0,22.5,4.83
4603,11,4,3.87,32.0,8.0,7.38
4604,0,14,23.22,235.0,16.79,6.5
4605,3,9,13.09,194.0,21.56,6.19
4606,1,8,9.07,79.0,9.88,6.95
4607,6,11,10.4,170.0,15.45,5.08
4608,16,2,1.92,40.0,20.0,3.38
4609,4,9,9.98,134.0,14.89,6.11
4610,1,10,24.84,282.0,28.2,5.42
4611,3,10,8.94,121.0,12.1,4.94
4612,22,1,1.54,15.0,15.0,6.16
4613,1,2,3.08,23.0,11.5,7.98
4614,4,7,5.75,55.0,7.86,6.85
4615,8,3,6.18,41.0,13.67,8.89
4616,4,14,19.42,211.0,15.07,7.34
4617,10,5,6.17,99.0,19.8,5.05
4618,3,5,6.15,52.0,10.4,7.25
4619,9,11,12.87,120.0,10.91,6.44
4620,1,14,13.75,203.0,14.5,5.18
4621,2,12,16.12,204.0,17.0,7.09
4622,1,8,17.39,170.0,21.25,7.06
4623,0,11,19.8,175.0,15.91,7.52
4624,9,3,1.81,47.0,15.67,5.72
4625,18,1,1.82,16.0,16.0,6.82
4626,4,8,12.01,106.0,13.25,6.69
4628,29,1,0.67,5.0,5.0,8.08
4629,3,6,10.88,91.0,15.17,7.45
4632,19,1,1.15,9.0,9.0,7.67
4634,15,3,11.34,90.0,30.0,8.21
4635,20,2,3.07,76.0,38.0,3.5
4636,25,1,1.15,14.0,14.0,4.93
4639,3,7,10.66,105.0,15.0,7.33
4640,2,5,9.67,79.0,15.8,7.01
4641,10,5,9.52,104.0,20.8,6.66
4642,6,7,13.79,159.0,22.71,5.67
4643,0,5,5.49,209.0,41.8,4.76
4644,4,1,2.45,23.0,23.0,6.4
4645,19,1,0.67,5.0,5.0,8.09
4647,22,6,7.66,78.0,13.0,6.48
4649,13,9,10.95,128.0,14.22,6.0
4650,11,9,10.26,136.0,15.11,6.26
4651,1,6,9.57,67.0,11.17,8.93
4652,20,2,3.76,28.0,14.0,8.36
4653,25,1,1.38,18.0,18.0,4.6
4654,16,2,3.74,26.0,13.0,8.76
4655,3,5,8.05,89.0,17.8,5.48
4656,27,2,2.79,22.0,11.0,6.74
4657,21,4,4.62,43.0,10.75,7.08
4658,4,8,8.42,73.0,9.12,6.79
4661,4,7,7.77,130.0,18.57,5.54
4662,27,2,2.35,19.0,9.5,7.57
4663,1,8,12.71,118.0,14.75,6.6
4664,6,2,1.24,22.0,11.0,4.82
4665,2,7,13.61,123.0,17.57,7.38
4666,30,1,2.13,20.0,20.0,6.38
4667,8,7,6.96,60.0,8.57,7.17
4668,1,9,13.38,159.0,17.67,6.9
4669,18,3,4.07,30.0,10.0,8.52
4670,15,7,8.6,89.0,12.71,6.78
4671,18,2,1.99,32.0,16.0,4.41
4675,22,1,3.36,45.0,45.0,4.48
4676,7,2,1.26,9.0,4.5,8.16
4677,7,4,8.66,68.0,17.0,7.38
4678,2,5,6.04,61.0,12.2,6.47
4680,0,8,8.24,73.0,9.12,7.1
4681,24,2,0.84,41.0,20.5,3.32
4682,28,1,5.42,32.0,32.0,10.16
4683,7,2,5.54,37.0,18.5,8.2
4684,14,1,1.17,8.0,8.0,8.77
4685,14,2,1.32,12.0,6.0,6.6
4686,9,2,3.08,23.0,11.5,8.15
4687,22,1,0.77,7.0,7.0,6.58
4689,1,8,18.17,136.0,17.0,7.85
4690,11,2,2.9,20.0,10.0,8.71
4692,7,6,13.12,94.0,15.67,8.92
4693,24,4,1.65,19.0,4.75,7.97
4694,0,5,8.88,83.0,16.6,6.71
4695,0,6,8.59,65.0,10.83,7.44
4696,2,2,2.08,34.0,17.0,5.84
4697,2,5,10.31,100.0,20.0,6.55
4698,2,3,4.26,50.0,16.67,4.99
4699,26,2,2.45,160.0,80.0,4.22
4701,6,7,9.73,79.0,11.29,7.09
4702,5,2,2.21,20.0,10.0,7.63
4703,29,1,0.62,11.0,11.0,3.4
4704,24,1,1.06,14.0,14.0,4.52
4705,20,2,2.02,18.0,9.0,6.91
4707,0,3,4.71,58.0,19.33,5.6
4708,0,2,5.44,38.0,19.0,6.84
4709,15,4,2.9,37.0,9.25,5.05
4712,16,3,7.45,48.0,16.0,9.32
4714,24,1,0.78,6.0,6.0,7.83
4716,25,2,4.91,31.0,15.5,9.23
4717,23,2,2.7,23.0,11.5,6.86
4718,8,3,4.5,35.0,11.67,9.12
4720,17,3,6.4,50.0,16.67,6.85
4721,1,2,2.05,14.0,7.0,8.68
4722,0,3,4.62,33.0,11.0,8.43
4723,14,3,4.37,45.0,15.0,6.43
4725,1,4,4.18,56.0,14.0,5.13
4726,0,5,9.05,69.0,13.8,7.68
4727,12,2,2.03,20.0,10.0,6.01
4728,20,2,1.02,38.0,19.0,1.58
4729,23,1,2.8,23.0,23.0,7.31
4730,23,3,9.18,76.0,25.33,7.39
4731,4,5,5.57,43.0,8.6,8.39
4732,16,4,4.82,54.0,13.5,6.82
4733,14,1,1.52,10.0,10.0,9.14
4735,13,6,12.75,122.0,20.33,6.71
4736,15,8,12.28,125.0,15.62,6.51
4741,10,3,4.76,35.0,11.67,7.78
4742,0,9,12.56,199.0,22.11,4.59
4743,2,1,0.49,7.0,7.0,4.18
4744,21,2,5.38,45.0,22.5,7.17
4745,3,9,13.57,116.0,12.89,7.06
4746,4,4,4.56,44.0,11.0,7.44
4747,8,7,8.4,72.0,10.29,6.68
4748,0,17,36.0,406.0,23.88,7.33
4749,1,6,6.79,63.0,10.5,6.64
4750,0,7,6.09,127.0,18.14,6.7
4751,11,5,10.63,112.0,22.4,5.65
4752,3,7,8.48,68.0,9.71,7.71
4753,0,4,4.72,79.0,19.75,5.81
4754,3,5,7.71,99.0,19.8,5.65
4755,5,9,16.44,207.0,23.0,6.2
4756,3,12,15.31,144.0,12.0,6.87
4757,5,3,3.25,80.0,26.67,5.59
4758,18,2,3.29,37.0,18.5,5.52
4759,7,11,26.47,295.0,26.82,6.21
4760,6,10,20.03,177.0,17.7,6.41
4761,2,11,32.43,329.0,29.91,7.02
4762,0,7,14.33,124.0,17.71,7.0
4763,2,3,8.3,81.0,27.0,6.18
4764,3,3,4.26,40.0,13.33,6.27
4765,4,13,17.61,179.0,13.77,7.84
4766,0,4,4.98,43.0,10.75,8.75
4767,7,1,1.82,13.0,13.0,8.4
4768,3,3,5.56,46.0,15.33,8.45
4769,1,12,21.98,242.0,20.17,6.08
4770,6,9,16.11,168.0,18.67,5.94
4771,9,4,6.44,53.0,13.25,7.28
4772,11,3,5.53,64.0,21.33,5.33
4773,15,7,18.71,165.0,23.57,7.6
4774,5,4,5.12,41.0,10.25,7.08
4775,7,7,11.28,143.0,20.43,6.33
4776,0,11,11.98,160.0,14.55,6.59
4777,0,5,4.49,42.0,8.4,6.8
4778,0,4,3.74,36.0,9.0,6.82
4779,0,8,12.91,106.0,13.25,7.12
4780,0,15,29.86,289.0,19.27,6.44
4781,0,10,21.87,233.0,23.3,4.55
4782,1,4,4.11,39.0,9.75,6.86
4783,4,10,11.34,121.0,12.1,6.09
4784,14,4,3.45,101.0,25.25,5.52
4785,0,7,9.87,119.0,17.0,5.27
4786,4,4,4.85,33.0,8.25,8.01
4787,1,6,13.74,114.0,19.0,7.1
4788,0,10,20.4,405.0,40.5,3.94
4789,12,4,4.72,48.0,12.0,6.15
4790,9,10,12.49,126.0,12.6,6.63
4791,1,8,14.01,113.0,14.12,7.7
4792,2,11,20.99,288.0,26.18,6.1
4793,2,9,12.46,89.0,9.89,7.15
4794,1,12,14.05,141.0,11.75,6.47
4795,3,8,15.24,138.0,17.25,6.56
4796,6,6,13.16,96.0,16.0,8.16
4797,8,6,8.27,112.0,18.67,4.61
4798,0,10,14.9,166.0,16.6,7.3
4799,0,10,16.72,141.0,14.1,8.23
4800,1,10,21.64,242.0,24.2,5.41
4801,4,9,10.17,111.0,12.33,7.14
4802,15,9,10.51,100.0,11.11,6.25
4803,9,7,12.38,83.0,11.86,8.72
4804,1,8,11.96,91.0,11.38,6.95
4805,1,6,9.75,68.0,11.33,8.06
4806,0,8,17.69,163.0,20.38,7.06
4807,2,11,20.2,207.0,18.82,7.31
4808,1,6,14.52,154.0,25.67,7.6
4809,0,7,8.12,107.0,15.29,5.42
4810,20,2,1.37,20.0,10.0,4.6
4811,10,5,5.3,52.0,10.4,7.21
4812,3,7,9.37,101.0,14.43,5.66
4813,1,7,9.85,88.0,12.57,7.3
4814,14,3,4.05,30.0,10.0,7.03
4815,5,3,4.17,29.0,9.67,8.65
4816,4,8,15.81,169.0,21.12,6.25
4817,2,4,12.9,96.0,24.0,7.64
4818,1,7,9.46,130.0,18.57,7.22
4820,10,15,33.38,326.0,21.73,6.51
4821,18,1,1.21,9.0,9.0,8.05
4822,21,3,8.02,49.0,16.33,9.46
4823,4,5,6.08,56.0,11.2,5.93
4824,5,8,9.03,70.0,8.75,7.46
4825,0,9,23.18,197.0,21.89,6.62
4826,1,12,22.19,179.0,14.92,6.93
4827,1,6,9.4,81.0,13.5,7.14
4828,3,7,11.29,147.0,21.0,5.39
4829,0,4,4.01,43.0,10.75,5.77
4830,18,5,6.58,84.0,16.8,4.87
4831,0,3,1.84,177.0,59.0,3.53
4832,1,2,5.57,43.0,21.5,8.26
4833,27,3,3.47,35.0,11.67,6.39
4834,1,15,20.87,197.0,13.13,7.42
4835,2,7,11.23,118.0,16.86,6.04
4836,9,7,20.97,165.0,23.57,7.42
4837,17,2,2.16,38.0,19.0,3.71
4838,1,9,9.19,77.0,8.56,6.75
4839,12,4,7.19,54.0,13.5,7.42
4840,2,9,9.39,95.0,10.56,6.49
4841,13,8,14.73,125.0,15.62,6.71
4842,0,6,6.33,48.0,8.0,8.93
4843,2,12,17.71,222.0,18.5,6.02
4844,3,5,4.1,107.0,21.4,5.07
4845,7,6,4.83,124.0,20.67,4.22
4846,3,7,11.16,98.0,14.0,7.24
4847,25,1,0.22,23.0,23.0,0.57
4848,1,8,15.06,168.0,21.0,6.33
4849,8,12,16.04,189.0,15.75,6.22
4850,3,11,11.24,237.0,21.55,4.65
4851,2,9,13.84,100.0,11.11,8.43
4852,3,6,4.24,53.0,8.83,7.47
4853,0,4,6.55,58.0,14.5,6.54
4854,2,9,11.45,116.0,12.89,6.54
4855,8,5,5.07,42.0,8.4,7.2
4856,3,7,12.39,101.0,14.43,8.56
4857,1,3,4.26,36.0,12.0,7.05
4858,5,12,16.46,143.0,11.92,6.9
4859,0,3,5.72,44.0,14.67,7.79
4860,26,2,7.71,62.0,31.0,6.88
4861,5,5,11.66,111.0,22.2,6.45
4862,4,9,12.32,285.0,31.67,4.19
4863,7,5,9.1,83.0,16.6,6.98
4864,11,5,4.66,40.0,8.0,7.15
4865,15,6,7.34,55.0,9.17,7.97
4866,5,11,26.65,235.0,21.36,6.62
4867,9,4,2.83,38.0,9.5,4.6
4868,2,6,7.72,88.0,14.67,6.14
4869,0,9,31.73,275.0,30.56,7.53
4870,0,8,8.95,286.0,35.75,5.92
4871,0,10,12.32,122.0,12.2,6.5
4872,2,8,7.58,130.0,16.25,4.89
4873,5,7,29.99,279.0,39.86,6.43
4874,3,11,18.19,162.0,14.73,7.28
4875,3,15,17.29,201.0,13.4,6.7
4876,1,8,13.36,279.0,34.88,6.83
4877,22,2,4.64,37.0,18.5,7.64
4878,2,13,22.48,232.0,17.85,6.28
4879,0,5,5.6,48.0,9.6,7.3
4880,29,1,3.69,23.0,23.0,9.62
4881,2,1,1.02,59.0,59.0,1.04
4882,1,7,11.12,106.0,15.14,6.5
4883,15,7,7.54,64.0,9.14,8.43
4884,2,4,6.45,72.0,18.0,5.01
4885,2,5,7.79,72.0,14.4,6.85
4886,24,1,1.86,32.0,32.0,3.5
4887,0,16,24.59,205.0,12.81,8.2
4888,0,9,10.48,122.0,13.56,6.85
4889,19,2,3.91,30.0,15.0,7.77
4890,7,10,11.52,96.0,9.6,8.05
4891,7,8,18.11,147.0,18.38,6.71
4892,1,14,22.86,249.0,17.79,5.71
4893,6,11,14.86,127.0,11.55,7.35
4894,4,4,3.68,38.0,9.5,6.52
4896,5,11,11.68,125.0,11.36,6.52
4897,0,15,20.94,337.0,22.47,6.05
4898,13,1,1.49,14.0,14.0,6.4
4899,9,15,28.29,307.0,20.47,5.7
4900,3,8,19.92,246.0,30.75,4.99
4901,20,5,6.69,60.0,12.0,8.23
4902,4,8,7.92,61.0,7.62,7.41
4903,0,10,10.28,106.0,10.6,6.06
4904,4,7,7.45,138.0,19.71,6.15
4905,0,6,8.56,79.0,13.17,6.9
4906,0,13,21.54,189.0,14.54,7.09
4907,0,7,13.5,209.0,29.86,4.87
4908,3,7,7.37,110.0,15.71,5.68
4909,0,7,14.54,125.0,17.86,7.29
4910,15,6,31.64,273.0,45.5,7.7
4911,3,4,2.26,86.0,21.5,2.94
4912,4,3,6.96,60.0,20.0,7.97
4913,5,6,10.77,134.0,22.33,5.73
4914,2,12,19.15,185.0,15.42,6.39
4916,21,4,7.26,154.0,38.5,4.93
4917,8,5,9.22,95.0,19.0,6.93
4918,2,4,2.98,45.0,11.25,6.1
4919,5,6,11.65,77.0,12.83,8.37
4920,15,6,9.93,79.0,13.17,8.0
4921,1,8,10.91,121.0,15.12,6.34
4922,0,11,17.8,145.0,13.18,7.88
4923,0,6,8.46,149.0,24.83,4.21
4924,26,3,4.85,29.0,9.67,10.54
4925,3,11,11.48,176.0,16.0,5.51
4926,17,1,0.53,13.0,13.0,2.44
4927,0,10,20.72,168.0,16.8,7.79
4928,1,6,7.55,79.0,13.17,6.35
4929,3,4,19.16,159.0,39.75,5.97
4930,1,8,18.24,146.0,18.25,8.45
4931,0,14,19.86,248.0,17.71,6.03
4932,5,4,3.07,24.0,6.0,8.01
4933,3,7,11.44,207.0,29.57,5.51
4934,1,14,15.29,201.0,14.36,4.95
4935,20,2,1.7,16.0,8.0,6.42
4936,11,2,12.3,109.0,54.5,6.92
4937,7,6,8.49,84.0,14.0,5.62
4938,1,5,5.58,56.0,11.2,6.25
4939,0,11,11.81,146.0,13.27,6.06
4940,14,8,9.54,137.0,17.12,6.12
4941,1,8,13.3,132.0,16.5,7.0
4942,2,5,9.43,71.0,14.2,8.19
4943,0,1,1.44,14.0,14.0,6.18
4944,6,9,14.24,107.0,11.89,7.19
4945,3,7,13.4,161.0,23.0,5.4
4946,5,7,8.67,77.0,11.0,8.32
4947,0,4,7.41,66.0,16.5,6.43
4948,2,7,5.89,54.0,7.71,7.12
4949,2,7,7.11,61.0,8.71,8.14
4950,0,11,22.55,205.0,18.64,6.62
4951,2,9,12.73,128.0,14.22,6.72
4952,22,1,0.73,4.0,4.0,10.96
4953,19,2,2.31,26.0,13.0,5.56
4954,0,6,8.07,78.0,13.0,6.12
4955,12,10,14.98,159.0,15.9,6.34
4956,0,4,5.9,47.0,11.75,6.99
4957,3,10,8.63,217.0,21.7,4.84
4958,1,13,33.12,294.0,22.62,6.63
4959,0,6,9.43,104.0,17.33,6.02
4960,0,3,6.11,49.0,16.33,7.48
4961,3,8,7.6,70.0,8.75,7.1
4962,21,4,7.79,64.0,16.0,6.91
4963,0,13,18.89,202.0,15.54,6.06
4964,9,3,2.93,26.0,8.67,6.89
4965,1,8,10.16,72.0,9.0,9.87
4966,12,5,7.8,58.0,11.6,8.17
4967,5,7,14.92,121.0,17.29,8.5
4968,8,7,5.88,75.0,10.71,5.08
4969,10,6,9.01,76.0,12.67,7.5
4970,0,14,17.89,194.0,13.86,6.49
4971,8,7,9.15,85.0,12.14,6.51
4972,2,9,13.18,128.0,14.22,6.6
4973,0,7,11.17,101.0,14.43,6.32
4974,6,7,7.45,106.0,15.14,4.69
4975,0,4,5.3,39.0,9.75,8.05
4976,0,10,12.37,108.0,10.8,6.89
4977,8,5,10.31,93.0,18.6,7.36
4978,0,9,16.76,128.0,14.22,8.12
4979,3,9,14.3,149.0,16.56,6.04
4980,2,7,15.33,134.0,19.14,6.82
4981,8,7,11.19,114.0,16.29,6.52
4982,0,8,13.84,116.0,14.5,7.84
4983,0,5,7.92,78.0,15.6,7.43
4984,0,5,12.83,111.0,22.2,6.32
4985,5,15,28.44,245.0,16.33,6.99
4986,13,11,20.9,168.0,15.27,7.24
4987,0,8,12.7,94.0,11.75,8.02
4988,7,8,7.09,92.0,11.5,6.3
4989,0,10,9.6,135.0,13.5,4.77
4990,0,10,8.56,159.0,15.9,6.05
4991,0,6,6.75,73.0,12.17,5.76
4992,6,6,9.7,109.0,18.17,5.52
4993,5,4,12.02,143.0,35.75,4.78
4994,0,11,15.8,148.0,13.45,7.41
4995,0,10,14.21,148.0,14.8,7.06
4996,1,11,11.95,151.0,13.73,5.7
4997,5,5,14.74,142.0,28.4,6.09
4998,4,8,21.85,330.0,41.25,6.99
4999,13,7,5.16,46.0,6.57,8.08
5000,1,11,10.68,97.0,8.82,7.24
5001,6,3,3.72,40.0,13.33,5.66
5002,0,11,11.84,100.0,9.09,8.14
5003,6,12,23.54,202.0,16.83,7.68
5004,0,7,11.72,124.0,17.71,5.11
5005,2,1,4.65,38.0,38.0,7.34
5006,13,4,3.95,54.0,13.5,4.41
5007,0,11,35.12,282.0,25.64,6.68
5008,1,3,2.34,29.0,9.67,5.4
5009,2,7,7.51,114.0,16.29,4.94
5010,2,3,4.07,44.0,14.67,7.92
5011,12,5,12.02,117.0,23.4,6.85
5012,3,16,19.59,199.0,12.44,7.14
5013,12,7,9.19,65.0,9.29,8.14
5014,7,1,0.94,6.0,6.0,9.41
5015,20,1,0.44,31.0,31.0,0.85
5016,7,4,11.14,112.0,28.0,6.58
5017,3,10,8.84,104.0,10.4,7.08
5018,15,4,4.46,64.0,16.0,4.47
5019,4,3,3.99,44.0,14.67,6.04
5020,2,9,8.05,204.0,22.67,7.28
5021,0,8,9.61,115.0,14.38,5.75
5022,0,10,12.44,158.0,15.8,5.13
5023,0,7,8.92,80.0,11.43,7.33
5024,8,3,2.16,65.0,21.67,3.92
5025,3,8,7.63,143.0,17.88,4.4
5026,3,6,7.31,60.0,10.0,7.25
5027,0,4,11.2,125.0,31.25,5.74
5028,3,3,5.82,54.0,18.0,6.8
5029,14,3,11.19,98.0,32.67,5.73
5030,0,6,6.03,57.0,9.5,6.94
5031,1,12,12.28,117.0,9.75,7.86
5032,0,9,14.06,126.0,14.0,7.86
5033,1,10,7.96,70.0,7.0,7.01
5034,5,7,13.86,180.0,25.71,5.47
5035,1,12,20.93,214.0,17.83,6.44
5036,25,2,2.66,17.0,8.5,10.14
5037,0,9,16.36,360.0,40.0,5.84
5038,4,2,2.08,14.0,7.0,8.72
5039,3,8,19.1,235.0,29.38,5.2
5040,0,9,16.4,142.0,15.78,7.03
5041,0,7,8.18,191.0,27.29,5.81
5042,2,12,31.13,257.0,21.42,6.46
5043,2,8,11.54,286.0,35.75,4.89
5044,3,8,6.72,58.0,7.25,7.66
5045,0,7,11.84,126.0,18.0,5.84
5046,1,5,7.79,57.0,11.4,8.13
5047,0,8,9.53,102.0,12.75,7.08
5048,0,7,12.37,104.0,14.86,6.61
5049,10,6,5.26,83.0,13.83,5.48
5050,1,18,20.66,250.0,13.89,6.02
5051,0,6,7.22,175.0,29.17,6.42
5052,8,3,2.16,19.0,6.33,7.11
5053,12,4,4.61,36.0,9.0,7.97
5054,1,11,21.29,168.0,15.27,6.93
5055,1,13,23.91,345.0,26.54,5.14
5056,1,7,10.31,87.0,12.43,7.87
5057,3,5,5.88,63.0,12.6,5.48
5058,7,1,3.2,31.0,31.0,6.18
5059,16,5,6.42,51.0,10.2,7.69
5060,1,8,6.79,151.0,18.88,4.65
5061,1,9,14.11,129.0,14.33,6.71
5062,3,13,24.73,312.0,24.0,6.03
5063,6,4,10.1,116.0,29.0,3.97
5064,3,5,8.47,156.0,31.2,4.12
5065,3,4,3.3,66.0,16.5,5.63
5066,3,9,26.36,202.0,22.44,7.54
5067,14,9,14.39,131.0,14.56,6.65
5068,28,1,0.4,5.0,5.0,4.75
5069,5,8,16.14,166.0,20.75,6.68
5070,7,9,9.0,91.0,10.11,6.0
5071,0,6,7.72,73.0,12.17,6.38
5072,2,9,13.76,142.0,15.78,5.88
5073,4,7,9.03,72.0,10.29,7.53
5074,0,6,10.9,149.0,24.83,7.41
5075,8,9,10.36,109.0,12.11,7.43
5076,2,7,11.66,117.0,16.71,6.71
5077,5,3,3.81,33.0,11.0,7.43
5078,0,6,6.32,63.0,10.5,5.87
5079,8,7,9.77,161.0,23.0,4.43
5080,11,7,10.23,111.0,15.86,5.99
5081,0,10,16.97,133.0,13.3,7.78
5082,4,6,13.38,105.0,17.5,7.15
5084,0,6,9.73,136.0,22.67,5.8
5085,5,6,10.06,83.0,13.83,7.22
5086,19,3,3.6,34.0,11.33,6.63
5087,10,6,13.6,142.0,23.67,5.54
5088,6,8,14.58,139.0,17.38,7.45
5089,1,3,2.42,21.0,7.0,6.85
5090,2,8,11.03,143.0,17.88,5.67
5091,1,4,5.99,52.0,13.0,6.65
5092,0,9,10.04,130.0,14.44,4.64
5093,0,5,6.42,91.0,18.2,5.63
5094,0,3,3.99,42.0,14.0,6.65
5095,0,12,20.86,219.0,18.25,6.61
5096,0,6,6.24,56.0,9.33,6.87
5097,1,10,16.24,195.0,19.5,6.58
5098,1,17,21.77,194.0,11.41,6.86
5099,5,7,8.49,84.0,12.0,6.14
5100,8,4,8.29,61.0,15.25,7.13
5101,2,7,7.1,58.0,8.29,7.4
5102,25,2,3.97,30.0,15.0,8.17
5103,1,1,6.3,46.0,46.0,8.22
5104,0,9,13.92,115.0,12.78,7.13
5105,0,10,18.66,130.0,13.0,8.5
5106,2,5,9.11,82.0,16.4,6.8
5107,3,15,20.98,264.0,17.6,6.46
5108,7,3,4.78,64.0,21.33,4.72
5109,4,8,16.32,242.0,30.25,5.07
5110,0,3,4.28,40.0,13.33,5.87
5111,9,5,11.41,144.0,28.8,6.85
5112,0,8,12.3,130.0,16.25,5.96
5114,0,6,8.65,74.0,12.33,6.91
5115,14,6,4.03,121.0,20.17,4.14
5116,1,13,24.38,205.0,15.77,6.56
5117,9,8,11.67,116.0,14.5,7.22
5118,0,8,16.3,193.0,24.12,5.72
5119,2,10,19.12,208.0,20.8,6.24
5120,1,6,6.73,48.0,8.0,8.12
5121,10,9,10.02,140.0,15.56,5.84
5122,10,2,9.08,62.0,31.0,8.54
5123,7,8,11.67,98.0,12.25,7.03
5124,23,5,4.66,65.0,13.0,5.7
5125,2,7,21.04,334.0,47.71,4.17
5126,5,7,4.97,54.0,7.71,5.55
5127,14,7,9.69,106.0,15.14,5.9
5128,16,3,4.1,67.0,22.33,5.09
5129,13,5,6.64,55.0,11.0,9.3
5130,2,13,21.6,198.0,15.23,6.72
5131,0,11,22.09,212.0,19.27,6.76
5132,1,16,28.41,312.0,19.5,6.96
5133,6,6,6.51,140.0,23.33,6.11
5134,3,3,6.78,137.0,45.67,5.02
5135,0,8,9.82,94.0,11.75,6.81
5136,3,9,17.28,193.0,21.44,5.7
5137,6,3,7.03,60.0,20.0,7.22
5138,2,8,12.11,103.0,12.88,7.63
5139,1,8,8.08,150.0,18.75,4.16
5140,5,7,7.86,87.0,12.43,6.07
5141,11,5,6.57,41.0,8.2,9.23
5142,6,8,12.24,108.0,13.5,7.32
5143,8,10,15.5,126.0,12.6,7.27
5144,15,5,7.19,95.0,19.0,4.87
5145,3,5,10.06,88.0,17.6,7.52
5146,4,6,9.37,164.0,27.33,5.84
5147,19,6,14.03,140.0,23.33,5.13
5148,0,6,4.88,84.0,14.0,6.4
5149,7,8,15.0,207.0,25.88,6.03
5150,0,21,30.35,418.0,19.9,6.39
5151,6,7,8.33,67.0,9.57,8.45
5152,9,13,26.34,325.0,25.0,6.03
5153,0,4,6.31,50.0,12.5,8.4
5154,2,7,10.25,117.0,16.71,6.17
5155,3,14,27.24,254.0,18.14,6.67
5156,0,12,16.6,217.0,18.08,6.89
5157,2,7,12.82,110.0,15.71,7.08
5158,20,4,6.53,49.0,12.25,8.7
5159,21,7,10.25,78.0,11.14,7.89
5160,6,7,11.46,123.0,17.57,5.59
